node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
DB12010	90	drug	protein	fostamatinib	ACVR1
DB01169	5371	drug	protein	Arsenic trioxide	PML
DB00459	6774	drug	protein	acitretin	STAT3
DB06803	6774	drug	protein	Niclosamide	STAT3
DB09462	375	drug	protein	Glycerin	ARF1
DB01593	226	drug	protein	zinc	ALDOA
DB02709	351	drug	protein	resveratrol	APP
DB01593	351	drug	protein	zinc	APP
DB06782	351	drug	protein	dimercaprol	APP
DB00746	351	drug	protein	deferoxamine-mesylate	APP
DB01593	333	drug	protein	zinc	APLP1
DB01094	4547	drug	protein	Hesperetin	MTTP
DB08827	4547	drug	protein	lomitapide	MTTP
DB00619	1436	drug	protein	imatinib	CSF1R
DB01268	1436	drug	protein	sunitinib	CSF1R
DB12010	1436	drug	protein	fostamatinib	CSF1R
DB06589	1436	drug	protein	pazopanib	CSF1R
DB00397	153	drug	protein	Phenylpropanolamine	ADRB1
DB00368	153	drug	protein	norepinephrine	ADRB1
DB00960	153	drug	protein	pindolol	ADRB1
DB00598	153	drug	protein	labetalol	ADRB1
DB00852	153	drug	protein	Pseudoephedrine	ADRB1
DB00335	153	drug	protein	atenolol-(+/-)	ADRB1
DB08985	153	drug	protein	etilefrine	ADRB1
DB00187	153	drug	protein	esmolol	ADRB1
DB04855	153	drug	protein	dronedarone	ADRB1
DB01151	153	drug	protein	desipramine	ADRB1
DB00726	153	drug	protein	trimipramine	ADRB1
DB00489	153	drug	protein	sotalol	ADRB1
DB09068	153	drug	protein	vortioxetine	ADRB1
DB01295	153	drug	protein	bevantolol	ADRB1
DB13345	153	drug	protein	DIHYDROERGOCRISTINE	ADRB1
clorprenaline	153	drug	protein		ADRB1
DB00521	153	drug	protein	carteolol	ADRB1
DB00612	153	drug	protein	bisoprolol	ADRB1
DB01136	153	drug	protein	carvedilol	ADRB1
DB01214	153	drug	protein	Metipranolol	ADRB1
DB00221	153	drug	protein	isoetharine	ADRB1
DB00127	153	drug	protein	Spermine	ADRB1
DB11273	153	drug	protein	DIHYDROERGOCORNINE	ADRB1
DB00866	153	drug	protein	alprenolol	ADRB1
DB00571	153	drug	protein	propranolol	ADRB1
DB00871	153	drug	protein	terbutaline	ADRB1
DB08807	153	drug	protein	bopindolol	ADRB1
DB00334	153	drug	protein	olanzapine	ADRB1
DB06262	153	drug	protein	droxidopa	ADRB1
DB01288	153	drug	protein		ADRB1
DB01359	153	drug	protein	penbutolol	ADRB1
DB05039	153	drug	protein	indacaterol	ADRB1
DB01182	153	drug	protein	propafenone	ADRB1
DB01193	153	drug	protein	acebutolol	ADRB1
DB00540	153	drug	protein	nortriptyline	ADRB1
DB01365	153	drug	protein	mephentermine	ADRB1
DB01291	153	drug	protein	Pirbuterol	ADRB1
DB09351	153	drug	protein	levobetaxolol	ADRB1
DB01118	153	drug	protein	amiodarone	ADRB1
DB00182	153	drug	protein	Amphetamine	ADRB1
DB00555	153	drug	protein	lamotrigine	ADRB1
