node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
C0031117	2318	indication	protein	peripheral neuropathy	FLNC
C0026848	2318	indication	protein	Myopathy	FLNC
C0878544	2318	indication	protein	cardiomyopathy	FLNC
C0035229	2318	indication	protein	Respiratory Insufficiency	FLNC
C0009404	2318	indication	protein	Colorectal Neoplasms	FLNC
C0007193	88	indication	protein	Cardiomyopathy, Dilated	ACTN2
C0002170	90	indication	protein	Alopecia	ACVR1
C0242488	90	indication	protein	acute lung injury	ACVR1
C0017638	90	indication	protein	Glioma	ACVR1
C0035229	90	indication	protein	Respiratory Insufficiency	ACVR1
C1458155	90	indication	protein	Mammary Neoplasms	ACVR1
C0004114	90	indication	protein	astrocytoma	ACVR1
C0007642	2624	indication	protein	Cellulitis	GATA2
C0162627	2624	indication	protein	Skin Diseases, Bacterial	GATA2
C3463824	2624	indication	protein	Myelodysplastic Syndrome	GATA2
C0023467	2624	indication	protein	Leukemia, Myelocytic, Acute	GATA2
C0021051	2624	indication	protein	Immunologic Deficiency Syndromes	GATA2
C0023487	5371	indication	protein	acute promyelocytic leukemia (APL)	PML
C0036341	5371	indication	protein	schizophrenia	PML
C0029401	5371	indication	protein	Osteitis Deformans	PML
C0038325	5371	indication	protein	Stevens-Johnson Syndrome	PML
C0017636	5371	indication	protein	glioblastoma	PML
C0030297	6774	indication	protein	Pancreatic Neoplasm	STAT3
C0009324	6774	indication	protein	ulcerative colitis	STAT3
C0027627	6774	indication	protein	Neoplasm Metastasis	STAT3
C0011581	6774	indication	protein	Depressive disorder	STAT3
C0001418	6774	indication	protein	Adenocarcinoma	STAT3
C0033860	6774	indication	protein	psoriasis	STAT3
C0007137	6774	indication	protein	squamous cell carcinoma	STAT3
C0007131	6774	indication	protein	Non-Small Cell Lung Carcinoma	STAT3
C0023467	6774	indication	protein	Leukemia, Myelocytic, Acute	STAT3
C0033578	6774	indication	protein	Prostatic Neoplasms	STAT3
C1168401	6774	indication	protein	head and neck squamous cell carcinoma (HNSCC)	STAT3
C0037299	6774	indication	protein	skin ulcer	STAT3
C0009375	6774	indication	protein	Colonic Neoplasms	STAT3
C0919267	6774	indication	protein	Ovarian Neoplasm	STAT3
C0025149	6774	indication	protein	medulloblastoma	STAT3
C0007786	6774	indication	protein	Brain Ischemia	STAT3
C0029453	6774	indication	protein	Osteopenia	STAT3
C0004153	6774	indication	protein	atherosclerosis	STAT3
C0015230	6774	indication	protein	Exanthema	STAT3
C1458155	6774	indication	protein	Mammary Neoplasms	STAT3
C0011854	6774	indication	protein	Diabetes Mellitus, Insulin-Dependent	STAT3
C0013595	6774	indication	protein	eczema	STAT3
C0015967	6774	indication	protein	fever	STAT3
C3495559	6774	indication	protein	Juvenile Arthritis	STAT3
C0004364	6774	indication	protein	Autoimmune Diseases	STAT3
C0030578	6774	indication	protein	Paronychia Inflammation	STAT3
