node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
1890	GO:0000002	protein	biological_function	TYMP	mitochondrial genome maintenance
4358	GO:0000002	protein	biological_function	MPV17	mitochondrial genome maintenance
4976	GO:0000002	protein	biological_function	OPA1	mitochondrial genome maintenance
10000	GO:0000002	protein	biological_function	AKT3	mitochondrial genome maintenance
55186	GO:0000002	protein	biological_function	SLC25A36	mitochondrial genome maintenance
84275	GO:0000002	protein	biological_function	SLC25A33	mitochondrial genome maintenance
92667	GO:0000002	protein	biological_function	MGME1	mitochondrial genome maintenance
142	GO:0007005	protein	biological_function	PARP1	mitochondrion organization
617	GO:0007005	protein	biological_function	BCS1L	mitochondrion organization
1981	GO:0007005	protein	biological_function	EIF4G1	mitochondrion organization
2189	GO:0007005	protein	biological_function	FANCG	mitochondrion organization
3028	GO:0007005	protein	biological_function	HSD17B10	mitochondrion organization
4976	GO:0007005	protein	biological_function	OPA1	mitochondrion organization
5245	GO:0007005	protein	biological_function	PHB	mitochondrion organization
7015	GO:0007005	protein	biological_function		mitochondrion organization
8834	GO:0007005	protein	biological_function	TMEM11	mitochondrion organization
8934	GO:0007005	protein	biological_function	RAB29	mitochondrion organization
9361	GO:0007005	protein	biological_function	LONP1	mitochondrion organization
10059	GO:0007005	protein	biological_function	DNM1L	mitochondrion organization
10730	GO:0007005	protein	biological_function	YME1L1	mitochondrion organization
10935	GO:0007005	protein	biological_function	PRDX3	mitochondrion organization
10981	GO:0007005	protein	biological_function	RAB32	mitochondrion organization
11331	GO:0007005	protein	biological_function	PHB2	mitochondrion organization
23277	GO:0007005	protein	biological_function	CLUH	mitochondrion organization
23682	GO:0007005	protein	biological_function	RAB38	mitochondrion organization
30968	GO:0007005	protein	biological_function	STOML2	mitochondrion organization
54832	GO:0007005	protein	biological_function	VPS13C	mitochondrion organization
55154	GO:0007005	protein	biological_function	MSTO1	mitochondrion organization
55186	GO:0007005	protein	biological_function	SLC25A36	mitochondrion organization
65018	GO:0007005	protein	biological_function	PINK1	mitochondrion organization
84275	GO:0007005	protein	biological_function	SLC25A33	mitochondrion organization
120892	GO:0007005	protein	biological_function	LRRK2	mitochondrion organization
125170	GO:0007005	protein	biological_function	MIEF2	mitochondrion organization
246269	GO:0007005	protein	biological_function	AFG1L	mitochondrion organization
400916	GO:0007005	protein	biological_function	CHCHD10	mitochondrion organization
3981	GO:0000012	protein	biological_function	LIG4	single strand break repair
7141	GO:0000012	protein	biological_function	TNP1	single strand break repair
23411	GO:0000012	protein	biological_function	SIRT1	single strand break repair
