node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
GO:0000002	GO:0007005	biological_function	biological_function	mitochondrial genome maintenance	mitochondrion organization
GO:0007005	GO:0006996	biological_function	biological_function	mitochondrion organization	organelle organization
GO:0000003	GO:0008150	biological_function	biological_function	reproduction	biological_process
GO:0000012	GO:0006281	biological_function	biological_function	single strand break repair	DNA repair
GO:0006281	GO:0006259	biological_function	biological_function	DNA repair	DNA metabolic process
GO:0006281	GO:0006974	biological_function	biological_function	DNA repair	cellular response to DNA damage stimulus
GO:0000018	GO:0006310	biological_function	biological_function	regulation of DNA recombination	DNA recombination
GO:0000018	GO:0051052	biological_function	biological_function	regulation of DNA recombination	regulation of DNA metabolic process
GO:0006310	GO:0006259	biological_function	biological_function	DNA recombination	DNA metabolic process
GO:0051052	GO:0006259	biological_function	biological_function	regulation of DNA metabolic process	DNA metabolic process
GO:0051052	GO:0019219	biological_function	biological_function	regulation of DNA metabolic process	regulation of nucleobase-containing compound metabolic process
GO:0051052	GO:0060255	biological_function	biological_function	regulation of DNA metabolic process	regulation of macromolecule metabolic process
GO:0000019	GO:0006312	biological_function	biological_function	regulation of mitotic recombination	mitotic recombination
GO:0000019	GO:0000018	biological_function	biological_function	regulation of mitotic recombination	regulation of DNA recombination
GO:0006312	GO:0006310	biological_function	biological_function	mitotic recombination	DNA recombination
GO:0000027	GO:0042255	biological_function	biological_function	ribosomal large subunit assembly	ribosome assembly
GO:0000027	GO:0042273	biological_function	biological_function	ribosomal large subunit assembly	ribosomal large subunit biogenesis
GO:0000027	GO:0022618	biological_function	biological_function	ribosomal large subunit assembly	ribonucleoprotein complex assembly
GO:0042255	GO:0042254	biological_function	biological_function	ribosome assembly	ribosome biogenesis
GO:0042255	GO:0070925	biological_function	biological_function	ribosome assembly	organelle assembly
GO:0042255	GO:0022618	biological_function	biological_function	ribosome assembly	ribonucleoprotein complex assembly
GO:0042273	GO:0042254	biological_function	biological_function	ribosomal large subunit biogenesis	ribosome biogenesis
GO:0042273	GO:0022613	biological_function	biological_function	ribosomal large subunit biogenesis	ribonucleoprotein complex biogenesis
GO:0022618	GO:0022613	biological_function	biological_function	ribonucleoprotein complex assembly	ribonucleoprotein complex biogenesis
