db_id	atc_code	level_4	level_4_name	level_3	level_3_name	level_2	level_2_name	level_1	level_1_name
DB00001	B01AE02	B01AE	Direct thrombin inhibitors	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00002	L01XC06	L01XC	Monoclonal antibodies	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00003	R05CB13	R05CB	Mucolytics	R05C	Expectorants, excl. combinations with cough suppressants	R05	Cough, cold preparations	R	Respiratory system
DB00004	L01XX29	L01XX	Other antineoplastic agents	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00005	L04AB01	L04AB	Tumor necrosis factor alpha (tnf-α) inhibitors	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00006	B01AE06	B01AE	Direct thrombin inhibitors	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00007	L02AE02	L02AE	Gonadotropin releasing hormone analogues	L02A	Hormones, related agents	L02	Endocrine therapy	L	Antineoplastic, immunomodulating agents
DB00008	L03AB61	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00008	L03AB11	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00009	S01XA13	S01XA	Other ophthalmologicals	S01X	Other ophthalmologicals	S01	Ophthalmologicals	S	Sensory organs
DB00009	B01AD02	B01AD	Enzymes	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00010	V04CD03	V04CD	Tests for pituitary function	V04C	Other diagnostic agents	V04	Diagnostic agents	V	Various
DB00010	H01AC04	H01AC	Somatropin, somatropin agonists	H01A	Anterior pituitary lobe hormones, analogues	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00011	L03AB06	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00012	B03XA02	B03XA	Other antianemic preparations	B03X	Other antianemic preparations	B03	Antianemic preparations	B	Blood, blood forming organs
DB00013	B01AD04	B01AD	Enzymes	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00014	L02AE03	L02AE	Gonadotropin releasing hormone analogues	L02A	Hormones, related agents	L02	Endocrine therapy	L	Antineoplastic, immunomodulating agents
DB00015	B01AD07	B01AD	Enzymes	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00016	B03XA01	B03XA	Other antianemic preparations	B03X	Other antianemic preparations	B03	Antianemic preparations	B	Blood, blood forming organs
DB00017	H05BA01	H05BA	Calcitonin preparations	H05B	Anti-parathyroid agents	H05	Calcium homeostasis	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00019	L03AA13	L03AA	Colony stimulating factors	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00020	L03AA09	L03AA	Colony stimulating factors	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00021	V04CK01	V04CK	Tests for pancreatic function	V04C	Other diagnostic agents	V04	Diagnostic agents	V	Various
DB00022	L03AB60	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00022	L03AB10	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00023	L01XX02	L01XX	Other antineoplastic agents	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00024	H01AB01	H01AB	Thyrotropin	H01A	Anterior pituitary lobe hormones, analogues	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00024	V04CJ01	V04CJ	Tests for thyreoidea function	V04C	Other diagnostic agents	V04	Diagnostic agents	V	Various
DB00025	B02BD02	B02BD	Blood coagulation factors	B02B	Vitamin k, other hemostatics	B02	Antihemorrhagics	B	Blood, blood forming organs
DB00026	L04AC03	L04AC	Interleukin inhibitors	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00027	R02AB30	R02AB	Antibiotics	R02A	Throat preparations	R02	Throat preparations	R	Respiratory system
DB00029	B01AD03	B01AD	Enzymes	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00030	A10AC01	A10AC	Insulins, analogues for injection, intermediate-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00030	A10AF01	A10AF	Insulins, analogues for inhalation	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00030	A10AB01	A10AB	Insulins, analogues for injection, fast-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00030	A10AE01	A10AE	Insulins, analogues for injection, long-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00030	A10AD01	A10AD	Insulins, analogues for injection, intermediate- or long-acting combined with fast-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00031	B01AD11	B01AD	Enzymes	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00032	G03GA02	G03GA	Gonadotropins	G03G	Gonadotropins, other ovulation stimulants	G03	Sex hormones, modulators of the genital system	G	Genito urinary system, sex hormones
DB00034	L03AB04	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00035	H01BA02	H01BA	Vasopressin, analogues	H01B	Posterior pituitary lobe hormones	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00036	B02BD08	B02BD	Blood coagulation factors	B02B	Vitamin k, other hemostatics	B02	Antihemorrhagics	B	Blood, blood forming organs
DB00038	L03AC02	L03AC	Interleukins	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00039	V03AF08	V03AF	Detoxifying agents for antineoplastic treatment	V03A	All other therapeutic products	V03	All other therapeutic products	V	Various
DB00040	H04AA01	H04AA	Glycogenolytic hormones	H04A	Glycogenolytic hormones	H04	Pancreatic hormones	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00041	L03AC01	L03AC	Interleukins	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00042	M03AX01	M03AX	Other muscle relaxants, peripherally acting agents	M03A	Muscle relaxants, peripherally acting agents	M03	Muscle relaxants	M	Musculo-skeletal system
DB00043	R03DX05	R03DX	Other systemic drugs for obstructive airway diseases	R03D	Other systemic drugs for obstructive airway diseases	R03	Drugs for obstructive airway diseases	R	Respiratory system
DB00044	G03GA07	G03GA	Gonadotropins	G03G	Gonadotropins, other ovulation stimulants	G03	Sex hormones, modulators of the genital system	G	Genito urinary system, sex hormones
DB00046	A10AC04	A10AC	Insulins, analogues for injection, intermediate-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00046	A10AB04	A10AB	Insulins, analogues for injection, fast-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00046	A10AD04	A10AD	Insulins, analogues for injection, intermediate- or long-acting combined with fast-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00047	A10AE04	A10AE	Insulins, analogues for injection, long-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00048	M09AB02	M09AB	Enzymes	M09A	Other drugs for disorders of the musculo-skeletal system	M09	Other drugs for disorders of the musculo-skeletal system	M	Musculo-skeletal system
