drug_1	drug_2
DB00373	DB00484
DB00443	DB02300
DB01235	DB01034
DB01222	DB00983
DB00773	DB00188
DB00796	DB00178
DB00762	DB01248
DB00515	DB00441
DB01119	DB00325
DB00313	DB00252
DB00593	DB00313
DB00072	DB00188
DB02546	DB00619
DB00072	DB00445
DB00997	DB00072
DB01248	DB00432
DB00361	DB00072
DB00531	DB00072
DB01194	DB00373
DB00388	DB00979
DB00877	DB00619
DB00515	DB01030
DB01069	DB00514
DB00929	DB00586
DB00405	DB00852
DB00563	DB00051
DB00321	DB00850
DB00112	DB01229
DB00762	DB00317
DB01032	DB00950
DB00530	DB00642
DB00295	DB00996
DB04876	DB01132
DB00381	DB00790
DB00860	DB00975
DB00381	DB00966
DB00471	DB00455
DB00584	DB00528
DB02546	DB00188
DB00675	DB00072
DB01620	DB08799
DB00945	DB00975
DB01081	DB00572
DB00733	DB00572
DB00439	DB01241
DB01098	DB00091
DB01577	DB01114
DB00115	DB01229
DB00515	DB00072
DB01156	DB00704
DB00531	DB01229
DB00373	DB00905
DB00906	DB00996
DB00273	DB00555
DB00273	DB00564
DB00273	DB00313
DB01075	DB00277
DB00273	DB00776
DB00273	DB01202
DB00331	DB01276
DB01234	DB00026
DB00612	DB00966
DB00209	DB01591
DB00654	DB01194
DB01169	DB00755
DB01591	DB00706
DB00542	DB00999
DB01076	DB00381
DB00492	DB00999
DB00956	DB00725
DB00381	DB00542
DB00275	DB00381
DB00594	DB00999
DB00436	DB01203
DB00515	DB00762
DB01006	DB00717
DB00539	DB01229
DB00997	DB00399
DB00722	DB00999
DB00678	DB00999
DB00968	DB00999
DB00264	DB00999
DB00177	DB00381
DB01275	DB00883
DB01029	DB00999
DB00275	DB00999
DB00571	DB00999
DB00881	DB00999
DB00537	DB00440
DB00415	DB00798
DB01013	DB01026
DB01255	DB01175
DB00877	DB00688
DB00682	DB01225
DB01201	DB00951
DB00877	DB00775
DB06335	DB00412
DB00515	DB00997
DB00734	DB00313
DB02638	DB00368
DB01229	DB01101
DB00030	DB00041
DB06151	DB00746
DB00230	DB00497
DB01248	DB05294
DB01076	DB00973
DB01274	DB01409
DB00650	DB00544
DB00310	DB00594
DB00054	DB00015
DB00112	DB01101
DB01248	DB00072
DB00313	DB00555
DB00996	DB00313
DB00996	DB00564
DB01039	DB00641
DB00199	DB00417
DB01202	DB00776
DB00203	DB01088
DB00996	DB00776
DB01050	DB01075
DB01060	DB00338
DB00515	DB00987
DB00813	DB00829
DB01016	DB06203
DB01098	DB01241
DB00997	DB01229
DB00852	DB01114
DB00956	DB01114
DB00852	DB00950
DB00967	DB00852
DB01032	DB01394
DB00480	DB00188
DB00318	DB01069
DB00515	DB00853
DB00427	DB00852
DB00072	DB00441
DB01197	DB00999
DB00497	DB00945
DB00796	DB00999
DB00945	DB00395
DB00371	DB00945
DB00788	DB00669
DB00966	DB00999
DB00421	DB00999
DB00177	DB00999
DB00384	DB00999
DB00584	DB01023
DB00519	DB00661
DB00423	DB00945
DB00876	DB00999
DB00584	DB00999
DB00335	DB00310
DB00201	DB00696
DB01050	DB00956
DB01009	DB00316
DB00475	DB00321
DB00332	DB01001
DB00852	DB00455
DB01050	DB00497
DB01183	DB00652
DB00869	DB00373
DB01234	DB00537
DB00537	DB00741
DB00612	DB00999
DB00809	DB00514
DB01050	DB00852
DB00433	DB00902
DB00381	DB01082
DB01073	DB00073
DB00627	DB00227
DB00241	DB00316
DB00951	DB01045
DB00788	DB00448
DB00331	DB01132
DB00331	DB00912
DB00627	DB00641
DB00335	DB08868
DB00997	DB00331
DB00072	DB01229
DB00318	DB00316
DB01033	DB00207
DB00647	DB00316
DB01045	DB01211
DB00652	DB00316
DB00615	DB01033
DB00497	DB00316
DB01033	DB01045
DB01033	DB01211
DB01620	DB06711
DB00331	DB01016
DB01067	DB00331
DB00193	DB00316
DB00222	DB00412
DB00222	DB01132
DB00331	DB01261
DB00190	DB01235
DB00852	DB00341
DB01183	DB00921
DB00853	DB00619
DB01229	DB01262
DB00788	DB00852
DB00515	DB00188
DB01132	DB06203
DB00388	DB01069
DB00860	DB00798
DB00334	DB00472
DB01395	DB00977
DB01395	DB00783
DB00977	DB00823
DB01357	DB00717
DB00957	DB00783
DB00783	DB00367
DB00668	DB00281
DB00668	DB00297
DB00030	DB06203
DB01023	DB01029
DB08907	DB00331
DB01242	DB00472
DB01224	DB00472
DB01306	DB00912
DB00480	DB00073
DB00188	DB01262
DB00203	DB00820
DB00398	DB00544
DB00997	DB00188
DB08908	DB00945
DB00563	DB06674
DB00531	DB01101
DB00078	DB00073
DB00818	DB00683
DB01101	DB04845
DB01590	DB01006
DB01222	DB00448
DB01234	DB08910
DB00682	DB01109
DB00264	DB01023
DB00997	DB01248
DB00727	DB00281
DB00005	DB00563
DB00977	DB00717
DB00635	DB01204
DB01045	DB00207
DB00997	DB00313
DB00254	DB01045
DB00331	DB01306
DB01104	DB00704
DB00903	DB00412
DB00635	DB01248
DB01276	DB01132
DB00394	DB01001
DB02546	DB00056
DB00758	DB01076
DB00104	DB00544
DB00394	DB00938
DB01137	DB00798
DB01128	DB00014
DB01238	DB01356
DB00331	DB00158
DB01095	DB00973
DB01137	DB01212
DB00331	DB06168
DB00983	DB00938
DB00928	DB05332
DB00317	DB00641
DB00813	DB00683
DB00983	DB00588
DB00388	DB01233
DB00695	DB00421
DB00864	DB00877
DB00864	DB00563
DB01590	DB00758
DB01229	DB00441
DB00175	DB00641
DB00515	DB00642
DB01197	DB01029
DB00860	DB00993
DB00480	DB00928
DB00497	DB00327
DB00783	DB00007
DB00571	DB00749
DB01409	DB00983
DB00177	DB00175
DB00331	DB00047
DB01177	DB00188
DB01217	DB00014
DB00054	DB01109
DB01222	DB00871
DB01098	DB01225
DB00584	DB01136
DB00055	DB01225
DB00398	DB01101
DB01076	DB00641
DB00295	DB00316
DB00503	DB01394
DB00796	DB01115
DB01132	DB00945
DB00515	DB00361
DB01212	DB00713
DB01309	DB00047
DB08885	DB01248
DB00169	DB00047
DB00052	DB00412
DB01212	DB01211
DB00571	DB00678
DB00030	DB01276
DB00421	DB00331
DB06285	DB06643
DB00112	DB00072
DB00860	DB00588
DB00030	DB00912
DB04878	DB06203
DB00996	DB00476
DB00993	DB00065
DB00398	DB00928
DB00929	DB00834
DB00563	DB06273
DB00531	DB00860
DB00997	DB00398
DB01212	DB00916
DB05039	DB00938
DB06335	DB01132
DB01171	DB06288
DB00422	DB01576
DB00313	DB01262
DB01234	DB00073
DB00584	DB00796
DB00563	DB00065
DB00381	DB00999
DB01211	DB00588
DB00335	DB00678
DB00331	DB01120
DB01263	DB01036
DB00678	DB00381
DB01268	DB00317
DB06151	DB00860
DB00627	DB00973
DB01104	DB00334
DB00661	DB01356
DB00860	DB00471
DB00338	DB00586
DB00043	DB00588
DB00758	DB01229
DB00921	DB00704
DB01238	DB00313
DB01590	DB00990
DB01098	DB01076
DB01212	DB00601
DB00910	DB01012
DB01609	DB00746
DB00627	DB00945
DB01183	DB00497
DB00112	DB04106
DB01268	DB00398
DB00153	DB01043
DB00864	DB00688
DB00990	DB00675
DB00647	DB00945
DB01010	DB00572
DB00454	DB00572
DB00719	DB00852
DB00972	DB00588
DB00207	DB00685
DB00310	DB00195
DB01085	DB00195
DB00318	DB01237
DB01212	DB00281
DB00446	DB00741
DB00860	DB00446
DB00880	DB00206
DB01114	DB00397
DB00318	DB01114
DB00310	DB00575
DB00310	DB00264
DB00310	DB00206
DB00675	DB00014
DB00563	DB01281
DB00030	DB06335
DB00531	DB00642
DB01076	DB00945
DB00381	DB01029
DB00034	DB06287
DB01109	DB00945
DB00295	DB00704
DB00182	DB01576
DB00783	DB00717
DB00331	DB06335
DB06713	DB00977
DB00691	DB00999
DB00331	DB06203
DB00983	DB00764
DB00310	DB08822
DB00169	DB00630
DB01126	DB00706
DB00304	DB00977
DB00165	DB00366
DB08882	DB00331
DB01194	DB00484
DB00514	DB00908
DB00297	DB00281
DB00977	DB00367
DB01234	DB00281
DB00273	DB00191
DB01050	DB00927
DB01064	DB06151
DB00787	DB00741
DB00415	DB01032
DB00241	DB00945
DB00956	DB00945
DB00652	DB00945
DB00175	DB00945
DB01324	DB00457
DB01324	DB00206
DB01325	DB00206
DB01021	DB00206
DB01261	DB00641
DB01089	DB00999
DB00232	DB01089
DB01234	DB00994
DB00584	DB00343
DB00788	DB01075
DB01075	DB00852
DB00813	DB00450
DB00788	DB00736
DB00894	DB00783
DB00286	DB00603
DB00286	DB00371
DB00957	DB00977
DB01357	DB00823
DB00994	DB00591
DB00846	DB00994
DB01170	DB00999
DB01275	DB00999
DB01275	DB00206
DB00598	DB00999
DB00960	DB00999
DB00206	DB00999
DB00373	DB00999
DB00956	DB00397
DB00852	DB00956
DB00994	DB00741
DB03904	DB00741
DB00759	DB00741
DB00774	DB00206
DB01050	DB00388
DB00388	DB01064
DB00007	DB00717
DB01069	DB00454
DB01626	DB00232
DB00232	DB00206
DB00994	DB00959
DB00994	DB00860
DB00994	DB00620
DB01015	DB01438
DB00388	DB06691
