drug_1	drug_2
DB06285	DB00630
DB01104	DB00704
DB00396	DB00783
DB00531	DB00091
DB00531	DB01073
DB00563	DB00091
DB00515	DB00773
DB00515	DB00361
DB01229	DB01030
DB00544	DB00848
DB00773	DB00531
DB00014	DB01128
DB00515	DB00544
DB01073	DB00104
DB01262	DB00091
DB01165	DB00537
DB01229	DB00762
DB01229	DB00361
DB01005	DB00544
DB00563	DB00570
DB01177	DB00242
DB01233	DB01234
DB01234	DB00889
DB00563	DB00987
DB01216	DB00499
DB01229	DB00515
DB00982	DB01168
DB00773	DB01181
DB00007	DB00499
DB04865	DB00987
DB01248	DB00997
DB01248	DB00762
DB00773	DB00541
DB01248	DB01196
DB01204	DB00635
DB00322	DB00544
DB00262	DB01206
DB00262	DB00853
DB01115	DB00641
DB00722	DB00641
DB00014	DB00007
DB01073	DB00987
DB05829	DB00630
DB00864	DB00091
DB05332	DB00762
DB05332	DB01234
DB01206	DB00853
DB00541	DB00762
DB00773	DB00987
DB00361	DB01181
DB01041	DB00635
DB00688	DB00091
DB00544	DB00650
DB01041	DB01073
DB00515	DB01248
DB00361	DB01248
DB01041	DB05332
DB01204	DB01248
DB00022	DB00811
DB00215	DB00472
DB00531	DB00563
DB01217	DB00072
DB01101	DB00762
DB01177	DB00987
DB00361	DB00853
DB00262	DB00762
DB01229	DB00112
DB01229	DB00188
DB00482	DB01248
DB00515	DB00530
DB00575	DB00422
DB00635	DB00531
DB00482	DB06243
DB00515	DB00317
DB01212	DB00207
DB00482	DB01262
DB01041	DB01234
DB01229	DB01196
DB00105	DB00982
DB00078	DB00073
DB00008	DB00811
DB01101	DB00317
DB00530	DB00853
DB00515	DB01030
DB01229	DB00530
DB01104	DB00285
DB00515	DB00762
DB01101	DB00112
DB01248	DB00317
DB00563	DB01281
DB00530	DB01248
DB00399	DB01006
DB01101	DB01248
DB00072	DB00675
DB01229	DB01248
DB00531	DB00987
DB00553	DB00307
DB00480	DB01234
DB01104	DB00334
DB00951	DB01201
DB01045	DB00951
DB04845	DB00515
DB01217	DB00317
DB00947	DB00317
DB00864	DB01073
DB00945	DB00758
DB01204	DB00188
DB00877	DB00087
DB00188	DB00762
DB01229	DB00982
DB00482	DB00530
DB01041	DB00762
DB00002	DB00762
DB00441	DB00642
DB00322	DB00762
DB01248	DB00188
DB00254	DB01060
DB00783	DB00603
DB01248	DB00112
DB01073	DB00188
DB00014	DB00531
DB00482	DB00317
DB01073	DB00087
DB00073	DB00087
DB01041	DB00853
DB00531	DB00552
DB00073	DB00563
DB00313	DB01262
DB00947	DB01217
DB06626	DB01248
DB04880	DB00264
DB01073	DB06176
DB00482	DB01101
DB00412	DB00331
DB00073	DB00112
DB01041	DB00188
DB01217	DB00884
DB00968	DB00099
DB01248	DB00619
DB01590	DB00317
DB00694	DB00987
DB00413	DB01175
DB06243	DB01128
DB01101	DB00619
DB00515	DB00642
DB00515	DB00441
DB00688	DB00864
DB01033	DB00563
DB00624	DB00884
DB00016	DB00012
DB00361	DB01101
DB01217	DB01128
DB00648	DB00428
DB01276	DB00331
DB00853	DB00762
DB04876	DB01132
DB04876	DB00222
DB01229	DB00441
DB00947	DB00530
DB01120	DB00331
DB04876	DB00331
DB00188	DB00997
DB06825	DB00499
DB06273	DB00563
DB00531	DB01101
DB01132	DB00331
DB01030	DB00853
DB00635	DB01248
DB00746	DB01609
DB00398	DB00851
DB02546	DB00188
DB00482	DB00853
DB00982	DB00853
DB00544	DB01248
DB00530	DB06287
DB00014	DB00624
DB01262	DB06176
DB00073	DB00188
DB00746	DB08826
DB00073	DB01073
DB06243	DB00605
DB01104	DB01068
DB00688	DB00877
DB00912	DB00331
DB00635	DB01281
DB02546	DB01101
DB06335	DB00331
DB00800	DB06151
DB00704	DB01043
DB00973	DB00641
DB02546	DB00307
DB00361	DB00441
DB01156	DB00704
DB00590	DB00177
DB12230	DB00177
DB00530	DB00112
DB00531	DB00997
DB01006	DB00072
DB01276	DB00412
DB00904	DB01075
DB01041	DB00073
DB00480	DB00073
DB00704	DB00745
DB00704	DB00822
DB00361	DB00072
DB00072	DB01101
DB08889	DB01234
DB00361	DB01196
DB00678	DB00695
DB00480	DB00188
DB00248	DB01235
DB00563	DB00619
DB01005	DB00619
DB00603	DB00624
DB00915	DB00571
DB08873	DB00811
DB00252	DB00682
DB01076	DB00641
DB00999	DB00177
DB00381	DB00999
DB01006	DB00675
DB01005	DB00945
DB00997	DB01234
DB00482	DB00762
DB00289	DB00422
DB00999	DB00335
DB00014	DB01217
DB00531	DB00642
DB01357	DB00603
DB00441	DB01248
DB01225	DB00055
DB00642	DB00762
DB00441	DB00072
DB00441	DB00762
DB00007	DB00399
DB00624	DB01126
DB00877	DB00864
DB00877	DB00635
DB00005	DB00563
DB01234	DB00987
DB00005	DB00073
DB00482	DB00990
DB00005	DB00441
DB00947	DB00990
DB00642	DB00002
DB00317	DB00675
DB04845	DB01045
DB00065	DB00563
DB00563	DB06674
DB01104	DB00279
DB00020	DB00099
DB00588	DB00938
DB01104	DB00246
DB00441	DB00073
DB00982	DB02546
DB01576	DB00745
DB06626	DB00441
DB00007	DB01248
DB00480	DB00635
DB00515	DB01181
DB00030	DB00331
DB00112	DB00675
DB01128	DB00007
DB00254	DB01017
DB00472	DB00402
DB00959	DB00853
DB00441	DB00544
DB00530	DB02546
DB00572	DB00571
DB00851	DB00853
DB00916	DB00537
DB02546	DB00072
DB01268	DB00530
DB01229	DB01101
DB00515	DB00002
DB00316	DB01050
DB00054	DB01109
DB01262	DB02546
DB00095	DB01281
DB00973	DB01076
DB00530	DB01590
DB00544	DB01101
DB00841	DB00437
DB00381	DB00966
DB01043	DB00740
DB00722	DB00966
DB00361	DB01030
DB01268	DB01248
DB01224	DB00715
DB00399	DB00675
DB01217	DB00399
DB04572	DB01073
DB00458	DB00472
DB00002	DB01101
DB01104	DB01202
DB00641	DB01039
DB01076	DB01039
DB00313	DB00853
DB00531	DB00002
DB00635	DB00073
DB00688	DB00531
DB00073	DB00020
DB00014	DB00675
DB01217	DB00624
DB00514	DB00201
DB05294	DB01248
DB00904	DB01234
DB06287	DB00853
DB00631	DB00987
DB01590	DB00072
DB01030	DB00317
DB00343	DB00199
DB00877	DB00091
DB00687	DB00741
DB04845	DB00445
DB01590	DB00112
DB00398	DB00002
DB06203	DB01132
DB00441	DB00002
DB01177	DB02546
DB01307	DB00030
DB00188	DB01234
DB02546	DB00928
DB00441	DB00530
DB00482	DB00544
DB00722	DB00381
DB01229	DB00877
DB01151	DB00704
DB00704	DB00715
DB01104	DB00502
DB01030	DB00112
DB01234	DB00377
DB00412	DB00222
DB00762	DB00112
DB13919	DB01023
DB05015	DB00188
DB01229	DB00002
DB05015	DB00928
DB00480	DB00928
DB00877	DB00530
DB00295	DB00230
DB01217	DB00641
DB00531	DB00541
DB00007	DB00052
DB00917	DB00929
DB00736	DB00945
DB00039	DB01109
DB01039	DB00331
DB00334	DB00909
DB00095	DB00563
DB01229	DB02546
DB01229	DB01268
DB00441	DB06176
DB00207	DB00608
DB00016	DB00928
DB00313	DB00928
DB01177	DB00188
DB04845	DB00002
DB00082	DB06791
DB00999	DB13919
DB00945	DB00641
DB09026	DB00177
DB00530	DB00642
DB06589	DB01248
DB00002	DB01254
DB00072	DB01248
DB00530	DB00605
DB00480	DB06287
DB00531	DB00072
DB00012	DB00893
DB00381	DB09026
DB00313	DB00334
DB01268	DB00877
DB00947	DB00112
DB01217	DB00112
DB00864	DB00563
DB00563	DB11988
DB00530	DB00002
DB00322	DB01234
DB00530	DB00307
DB00877	DB00072
DB06825	DB00675
DB06825	DB01006
DB00631	DB00531
DB00480	DB00851
DB00008	DB01265
DB05015	DB00544
DB00673	DB00377
DB00515	DB08871
DB00020	DB00619
DB00398	DB00041
DB05294	DB00642
DB01261	DB00331
DB01590	DB00091
DB00515	DB01590
DB00445	DB01248
DB00688	DB00860
DB01599	DB00177
DB00544	DB01109
DB00773	DB00073
DB00188	DB00112
DB00020	DB00072
DB06701	DB01018
DB00441	DB01030
DB00201	DB00975
DB00186	DB00652
DB00014	DB00990
DB01041	DB00399
DB00203	DB00559
DB01109	DB00006
DB01590	DB00642
DB00402	DB00285
DB00734	DB11699
DB00503	DB01232
DB00398	DB00112
DB00242	DB00068
DB00254	DB01045
DB06285	DB00399
DB01248	DB01254
DB00530	DB01101
DB05294	DB00853
DB01229	DB00997
DB00584	DB00177
DB00678	DB00999
DB00381	DB00177
DB00002	DB01248
DB00877	DB00398
DB06155	DB00331
DB00222	DB00331
DB05294	DB00515
DB00020	DB00499
DB00317	DB00641
DB01175	DB00659
DB01254	DB01101
DB00087	DB00552
DB00515	DB01101
DB01151	DB01175
DB01276	DB00030
DB00218	DB01201
DB01006	DB00112
DB00471	DB01222
DB00635	DB08910
DB00398	DB01030
DB00877	DB00112
DB00572	DB01276
DB01128	DB01126
DB01233	DB01075
DB01216	DB00624
DB01204	DB00020
DB01276	DB01261
DB01248	DB01234
DB00455	DB00043
DB05294	DB01217
DB00399	DB00282
DB00480	DB00531
DB01197	DB00028
DB06287	DB00188
DB00297	DB00281
DB00313	DB01238
DB00997	DB01181
DB00635	DB05812
DB01611	DB00853
DB06168	DB00563
DB00451	DB00279
DB08880	DB00068
DB04845	DB00072
DB00399	DB01076
DB00068	DB00060
DB01268	DB00112
DB00959	DB00060
DB00060	DB00641
DB00531	DB01248
DB00810	DB00201
DB00313	DB01254
DB00313	DB00480
DB00313	DB00398
DB01268	DB00851
DB00773	DB00034
DB00287	DB00373
DB00515	DB00398
DB00252	DB01320
DB01156	DB00402
DB00188	DB00853
DB00313	DB00773
DB09074	DB01030
DB01229	DB09074
DB00851	DB09074
DB00273	DB00191
DB00630	DB06643
DB02772	DB00281
DB01590	DB00853
DB06287	DB01030
DB00022	DB00853
DB00877	DB00041
DB00544	DB00002
DB00736	DB00788
DB06292	DB00331
DB08816	DB00945
DB00313	DB00112
DB00530	DB00254
DB00682	DB00476
DB00947	DB01101
DB00398	DB00188
DB00482	DB00531
DB00441	DB08910
DB00959	DB01248
DB00381	DB00178
DB00398	DB00853
DB00947	DB01006
DB08885	DB01248
DB01001	DB00571
DB01224	DB00422
DB01073	DB06193
DB00073	DB00987
DB00727	DB01132
DB00678	DB00722
DB01268	DB00441
DB00938	DB01409
DB00441	DB00112
DB01233	DB01009
DB00012	DB09146
DB08910	DB01234
DB00105	DB01262
DB02546	DB01248
DB00399	DB01254
DB01011	DB00842
DB06603	DB00072
DB04845	DB01101
DB01611	DB00188
DB01268	DB01101
DB00947	DB01590
DB08885	DB00441
DB00631	DB00056
DB00325	DB00640
DB00987	DB00227
DB01248	DB00227
DB01229	DB00227
DB01098	DB01039
DB00959	DB00073
DB08875	DB00530
DB00181	DB00186
DB00441	DB01254
DB00615	DB00207
DB00215	DB00422
DB06168	DB00331
DB00398	DB00531
DB00531	DB00959
DB00642	DB01234
DB00398	DB00530
DB06287	DB00112
DB00530	DB01030
DB01409	DB05039
DB00513	DB06692
DB09462	DB00316
DB00034	DB00112
DB06589	DB00642
DB06589	DB00530
DB00843	DB00996
DB00476	DB00996
DB00398	DB01248
DB04572	DB00563
DB00741	DB01234
DB00022	DB00398
DB00188	DB00928
DB00334	DB00502
DB00441	DB01101
DB00515	DB00039
DB00993	DB00635
DB00252	DB01076
DB00555	DB01076
DB00105	DB05630
DB00515	DB00188
DB01128	DB01590
DB00441	DB00997
DB01098	DB00175
DB01098	DB01076
DB06603	DB01101
DB00338	DB00736
DB01222	DB00277
DB00398	DB01006
DB00398	DB02546
DB00497	DB00230
DB00230	DB01075
DB08877	DB01234
DB01270	DB00112
DB00264	DB00999
DB00530	DB00916
DB00980	DB01175
DB08885	DB00853
DB00563	DB00860
DB00973	DB00091
DB01098	DB00973
DB00973	DB08860
DB01104	DB00996
DB01307	DB01306
DB01307	DB00331
DB00563	DB00092
DB05294	DB01128
DB01197	DB09026
DB01197	DB01029
DB00642	DB01248
DB01067	DB00331
DB01204	DB00002
DB01217	DB00783
DB00557	DB00377
DB00441	DB00398
DB00898	DB00996
DB00584	DB01261
DB00338	DB00863
DB00020	DB00552
DB00030	DB01306
DB01590	DB00188
DB00480	DB00762
DB00334	DB00331
DB00334	DB00641
DB00530	DB01197
DB00569	DB00682
DB00095	DB01270
DB01268	DB00635
DB00334	DB00904
DB06589	DB00441
DB00834	DB00929
DB01217	DB01006
DB00544	DB00762
DB00945	DB09030
DB00497	DB00448
DB00783	DB00007
DB02546	DB02701
DB00399	DB01181
DB01262	DB06603
DB06287	DB01234
DB00635	DB00864
DB00361	DB00112
DB01006	DB01254
DB01026	DB01248
DB00734	DB00834
DB06655	DB00331
DB00361	DB00530
DB01262	DB00188
DB06287	DB01248
DB01590	DB01030
DB01005	DB00661
DB09265	DB00331
DB00877	DB01026
DB09074	DB00112
DB01262	DB00853
DB00673	DB00747
DB04845	DB01254
DB00199	DB00530
DB00673	DB00531
DB00396	DB00945
DB06589	DB00997
DB00445	DB06589
DB00073	DB06317
DB00295	DB00996
DB00480	DB02546
DB00678	DB09026
DB06589	DB01030
DB00218	DB01234
DB00678	DB00177
DB06809	DB00099
DB06603	DB00530
DB00480	DB01073
DB00973	DB00177
DB00175	DB00177
DB00641	DB00177
DB00642	DB00112
DB00993	DB00091
DB01229	DB00928
DB00916	DB01137
DB00947	DB01254
DB00997	DB00112
DB00811	DB05521
DB00841	DB06213
DB00242	DB02546
DB06176	DB00188
DB04845	DB01611
DB00056	DB00928
DB00316	DB00193
DB01624	DB00502
DB01043	DB00843
DB00213	DB01261
DB00014	DB00499
DB01167	DB00642
DB06237	DB00199
DB06237	DB01026
DB06237	DB00503
DB00073	DB01234
DB08893	DB01045
DB00297	DB01400
DB00297	DB00813
DB00341	DB00967
DB01217	DB00675
DB01229	DB00398
DB01611	DB01248
DB00999	DB09026
DB00043	DB01167
DB00242	DB06287
DB01268	DB01590
DB00005	DB01137
DB00635	DB01137
DB00586	DB01628
DB00990	DB06616
DB00273	DB00915
DB00262	DB00112
DB00993	DB00860
DB01306	DB00040
DB00654	DB00287
DB00020	DB00724
DB01009	DB01060
DB01194	DB00484
DB00297	DB01234
DB00620	DB00112
DB01234	DB00112
DB00482	DB01586
DB00773	DB00072
DB01175	DB00402
DB00393	DB00674
DB00635	DB00188
DB00967	DB01062
DB01394	DB06168
DB05294	DB00877
DB04845	DB00398
DB00530	DB01254
DB06287	DB00762
DB00412	DB00641
DB01104	DB00331
DB00673	DB01234
DB01225	DB01017
DB00480	DB00441
DB04878	DB01261
DB06292	DB00641
DB06292	DB00177
DB00480	DB00091
DB06825	DB00052
DB06292	DB00222
DB06292	DB01261
DB00973	DB01039
DB00515	DB00445
DB00065	DB00788
DB00073	DB06273
DB01098	DB00201
DB00584	DB09026
DB00916	DB00254
DB00548	DB00254
DB00328	DB06372
DB00531	DB00112
DB06203	DB00331
DB01270	DB01590
DB06603	DB00112
DB06213	DB00640
DB00007	DB01254
DB06589	DB00218
DB00945	DB01132
DB00877	DB01262
DB01590	DB00990
DB00544	DB00112
DB00218	DB00601
DB01229	DB06589
DB04845	DB00531
DB01101	DB00853
DB01254	DB00853
DB00361	DB00398
DB06655	DB00030
DB00988	DB00741
DB00615	DB00921
DB00921	DB01045
DB06603	DB01128
DB01177	DB05015
DB05015	DB00997
DB01006	DB06616
DB01234	DB00996
DB00398	DB01181
DB00056	DB01262
DB08880	DB00060
DB00959	DB00297
DB00999	DB00519
DB06287	DB01075
DB00043	DB00668
DB06603	DB00188
DB01166	DB00945
DB01119	DB00331
DB00734	DB00215
DB00063	DB00009
DB01026	DB00741
DB00555	DB00715
DB00631	DB01262
DB06809	DB00188
DB06292	DB00390
DB00682	DB06292
DB01268	DB00990
DB00818	DB00813
DB00683	DB00813
DB06603	DB00642
DB00334	DB00246
DB00471	DB00394
DB00564	DB00555
DB00706	DB01036
DB01229	DB00072
DB01156	DB01175
DB01248	DB00745
DB02709	DB00188
DB06287	DB00642
DB00242	DB00073
DB04845	DB00112
DB00178	DB09026
DB05294	DB00188
