drug_1	drug_2
DB00533	DB00897
DB00231	DB00726
DB01204	DB01101
DB00423	DB00433
DB00897	DB00641
DB00531	DB00813
DB00531	DB00950
DB00381	DB00472
DB00904	DB00559
DB00182	DB00996
DB00455	DB01595
DB00502	DB01238
DB00661	DB00710
DB00661	DB00246
DB01124	DB00641
DB01115	DB01059
DB00884	DB00530
DB00884	DB00285
DB00564	DB00549
DB01029	DB00350
DB00695	DB00300
DB00472	DB00794
DB00829	DB01110
DB13919	DB01136
DB00395	DB00656
DB01115	DB00412
DB00501	DB01068
DB00501	DB00575
DB00231	DB00752
DB01005	DB01029
DB00737	DB00540
DB01136	DB09026
DB00916	DB00656
DB00328	DB00571
DB00404	DB00752
DB00404	DB00656
DB00661	DB00843
DB00661	DB00590
DB00612	DB01023
DB00749	DB01105
DB00458	DB00231
DB00213	DB00656
DB00213	DB00752
DB01020	DB01012
DB00737	DB00231
DB01241	DB01165
DB00482	DB01129
DB01068	DB00999
DB00544	DB00990
DB00433	DB00412
DB00433	DB00216
DB00381	DB00310
DB00549	DB01020
DB00477	DB00690
DB01589	DB00884
DB01241	DB00231
DB01020	DB01268
DB01077	DB01097
DB00661	DB00794
DB00983	DB00448
DB01001	DB00196
DB01156	DB00404
DB01136	DB01050
DB01136	DB00780
DB00953	DB00641
DB01136	DB00794
DB00950	DB00502
DB13919	DB00678
DB00630	DB00608
DB00630	DB00475
DB00571	DB00550
DB00975	DB00472
DB01242	DB00776
DB01132	DB00530
DB01188	DB01233
DB00999	DB00853
DB01009	DB00863
DB00999	DB00231
DB01009	DB00481
DB00648	DB00338
DB00648	DB00904
DB00524	DB00338
DB01156	DB00842
DB01156	DB00991
DB00804	DB00580
DB00404	DB00214
DB00749	DB00433
DB01132	DB00533
DB01204	DB00412
DB00843	DB00186
DB00843	DB00455
DB01156	DB00712
DB01156	DB00690
DB00338	DB01238
DB00252	DB01050
DB00252	DB00281
DB00951	DB00425
DB00537	DB00947
DB00829	DB01320
DB00972	DB00533
DB00531	DB00338
DB00531	DB00904
DB00630	DB00231
DB00669	DB00976
DB00806	DB01223
DB00630	DB00853
DB00448	DB00910
DB01069	DB00376
DB00564	DB00480
DB01068	DB00533
DB00341	DB00250
DB01068	DB00268
DB00904	DB01032
DB00277	DB00285
DB00966	DB00530
DB00252	DB00656
DB00924	DB00399
DB00564	DB01595
DB00972	DB00268
DB01242	DB00540
DB01132	DB00818
DB01132	DB00571
DB00555	DB00440
DB00448	DB01320
DB00285	DB00909
DB00555	DB00376
DB01162	DB01198
DB00564	DB00531
DB00695	DB01611
DB01194	DB00287
DB01067	DB00231
DB00641	DB01088
DB00461	DB00884
DB00734	DB00938
DB00502	DB00328
DB00472	DB00557
DB00557	DB00540
DB00619	DB00973
DB01039	DB00996
DB00472	DB01611
DB00804	DB00533
DB01005	DB00727
DB00472	DB01173
DB00277	DB00580
DB01215	DB00916
DB01215	DB00264
DB01043	DB00264
DB01069	DB00412
DB01043	DB00524
DB00575	DB00938
DB00250	DB00476
DB00321	DB00950
DB00945	DB00557
DB00182	DB00289
DB00996	DB01069
DB01165	DB00213
DB00450	DB00695
DB00222	DB01268
DB00450	DB00996
DB01016	DB00842
DB00575	DB00370
DB00575	DB00350
DB00829	DB00727
DB00564	DB00545
DB01162	DB01238
DB00564	DB01589
DB00999	DB01101
DB00277	DB01291
DB00531	DB00571
DB00924	DB00727
DB00950	DB00480
DB00537	DB00458
DB00537	DB01181
DB01067	DB01020
DB00683	DB00425
DB00999	DB01233
DB00231	DB00216
DB00537	DB00678
DB01233	DB00289
DB01224	DB00289
DB00590	DB01238
DB01029	DB01012
DB00264	DB00243
DB00612	DB01039
DB00630	DB00246
DB01006	DB00776
DB00350	DB00910
DB00482	DB00784
DB00264	DB00208
DB00761	DB00300
DB00695	DB00863
DB01589	DB01224
DB00222	DB00433
DB00404	DB01217
DB13919	DB00927
DB00996	DB01149
DB00231	DB00289
DB00590	DB00776
DB00863	DB00476
DB00335	DB00300
DB00281	DB00884
DB00339	DB00945
DB00863	DB00918
DB00749	DB01020
DB00472	DB00533
DB01132	DB00268
DB00339	DB01233
DB00678	DB01224
DB00472	DB00897
DB00395	DB00927
DB00399	DB01268
DB00695	DB00244
DB00484	DB00282
DB00484	DB00213
DB00404	DB00927
DB00281	DB00213
DB00395	DB00454
DB00281	DB00282
DB00341	DB01132
DB00341	DB00960
DB01068	DB00761
DB01242	DB00863
DB00737	DB01129
DB01020	DB01591
DB00404	DB00454
DB00404	DB01043
DB00484	DB00310
DB00710	DB01268
DB00215	DB00724
DB01204	DB00745
DB00598	DB00425
DB00484	DB00798
DB00533	DB00489
DB00484	DB01241
DB00776	DB01591
DB00612	DB00537
DB00502	DB00285
DB01062	DB00641
DB00482	DB00745
DB00863	DB01020
DB01001	DB00321
DB00513	DB00448
DB01001	DB00381
DB00395	DB00533
DB00395	DB00268
DB00540	DB00884
DB00555	DB01224
DB01156	DB00598
DB00196	DB09389
DB00196	DB00540
DB01204	DB01132
DB00927	DB01595
DB13919	DB00996
DB13919	DB00695
DB01067	DB00641
DB01041	DB00412
DB00404	DB00533
DB01016	DB01611
DB00404	DB00268
DB00727	DB00897
DB00950	DB00952
DB00829	DB00204
DB00458	DB00761
DB01001	DB00461
DB00331	DB01069
DB01068	DB00331
DB00316	DB00570
DB00482	DB00231
DB00281	DB01101
DB00277	DB00455
DB00863	DB00990
DB01006	DB00285
DB01016	DB00806
DB00404	DB00761
DB00950	DB00458
DB01156	DB00969
DB00761	DB01238
DB00222	DB00555
DB01217	DB00990
DB01128	DB00590
DB00555	DB00412
DB00630	DB00950
DB00843	DB00204
DB00745	DB00842
DB00630	DB00813
DB00215	DB00531
DB00661	DB01016
DB00280	DB00843
DB01001	DB01062
DB00328	DB00300
DB00335	DB00990
DB00575	DB00904
DB00575	DB00338
DB00484	DB00710
DB00484	DB00246
DB00969	DB00927
DB01050	DB01115
DB01039	DB00656
DB01156	DB00861
DB00252	DB01165
DB00887	DB00804
DB00215	DB00918
DB01059	DB00619
DB00820	DB00973
DB00484	DB00887
DB00531	DB01254
DB00999	DB00976
DB00244	DB01069
DB00545	DB00399
DB00590	DB00246
DB00784	DB00571
DB01151	DB00996
DB01151	DB00695
DB00501	DB01165
DB01077	DB00734
DB00433	DB00398
DB00250	DB00621
DB00590	DB00710
DB00401	DB01020
DB00316	DB00924
DB00214	DB00910
DB00282	DB00905
DB00370	DB00476
DB00501	DB00454
DB00630	DB01591
DB00924	DB00938
DB00813	DB00243
DB00999	DB01009
DB00370	DB00918
DB00338	DB00285
DB00630	DB00726
DB00999	DB01026
DB01143	DB00338
DB00555	DB00916
DB00338	DB00799
DB01020	DB00289
DB00335	DB00331
DB00316	DB00920
DB00264	DB00953
DB01029	DB00244
DB00316	DB01026
DB00461	DB01162
DB00564	DB00475
DB00450	DB00683
DB00571	DB00820
DB01016	DB00641
DB01198	DB00246
DB00813	DB00331
DB00537	DB00250
DB13919	DB00559
DB00455	DB01129
DB00252	DB00246
DB00829	DB00623
DB00813	DB09389
DB00813	DB00540
DB01156	DB01132
DB00927	DB00641
DB01029	DB01233
DB00804	DB01115
DB00201	DB00215
DB00313	DB01241
DB00316	DB01204
DB00215	DB01320
DB00222	DB00904
DB00915	DB01016
DB00321	DB00214
DB00215	DB01268
DB00186	DB01267
DB00564	DB00690
DB00973	DB00300
DB00531	DB01067
DB00450	DB00555
DB00264	DB00947
DB13919	DB01268
DB00425	DB01117
DB00813	DB00918
DB00776	DB00412
DB00425	DB01020
DB00371	DB01059
DB00571	DB00300
DB00196	DB01223
DB01023	DB00678
DB01224	DB00268
DB01039	DB00905
DB00555	DB01097
DB00537	DB01149
DB00537	DB00952
DB00678	DB01268
DB00341	DB00489
DB01193	DB01268
DB01026	DB01165
DB00819	DB00196
DB00210	DB00580
DB00181	DB00482
DB00950	DB00641
DB00482	DB00850
DB00482	DB00806
DB00818	DB00425
DB00454	DB00433
DB00903	DB00996
DB00641	DB00976
DB00695	DB00476
DB00316	DB00196
DB01043	DB00231
DB01043	DB00853
DB01009	DB00455
DB01009	DB00186
DB00544	DB00425
DB01132	DB00776
DB00540	DB00285
DB01001	DB00440
DB00661	DB01059
DB00482	DB01188
DB01062	DB00214
DB00341	DB00991
DB00341	DB00842
DB00186	DB00481
DB00999	DB01020
DB00544	DB00904
DB00991	DB01238
DB00630	DB01611
DB00222	DB00641
DB01043	DB01149
DB01016	DB01162
DB00630	DB01136
DB00262	DB01165
DB00433	DB01162
DB01136	DB00281
DB00281	DB01029
DB00950	DB01006
DB00341	DB00950
DB00341	DB00813
DB00331	DB00559
DB00316	DB01217
DB00191	DB01132
DB01611	DB00916
DB00321	DB00455
DB00321	DB00186
DB00244	DB01149
DB00401	DB00533
DB00328	DB00697
DB00316	DB00819
DB00425	DB00621
DB00379	DB00208
DB01132	DB00669
DB00341	DB00537
DB00448	DB00264
DB01193	DB00196
DB00448	DB00379
DB01224	DB00619
DB00422	DB00370
DB00537	DB01268
DB01217	DB00331
DB00794	DB01162
DB00612	DB00842
DB00484	DB00341
DB01032	DB00973
DB00813	DB00798
DB00252	DB01204
DB01050	DB00710
DB00316	DB01589
DB00904	DB01062
DB01611	DB00938
DB00281	DB01132
DB00484	DB00697
DB00564	DB01129
DB00404	DB01267
DB01193	DB13919
DB00213	DB00289
DB01149	DB00962
DB00196	DB00530
DB00196	DB00656
DB00661	DB00499
DB00264	DB00571
DB00540	DB00338
DB00678	DB00691
DB00502	DB01129
DB00270	DB00947
DB00630	DB00678
DB00270	DB01006
DB00280	DB01165
DB00999	DB01041
DB00381	DB00990
DB00737	DB00966
DB00915	DB00321
DB00338	DB00691
DB00951	DB00289
DB00555	DB01267
DB01136	DB00950
DB00806	DB00243
DB00951	DB01069
DB01136	DB00813
DB00975	DB00544
DB01132	DB01162
DB01062	DB00398
DB01059	DB00425
DB01097	DB00697
DB00678	DB00243
DB00996	DB01181
DB00575	DB00619
DB00924	DB00222
DB01069	DB00580
DB00924	DB01067
DB01156	DB00794
DB00678	DB00820
DB00250	DB00884
DB01233	DB00656
DB00264	DB00489
DB00408	DB00213
DB00338	DB00621
DB00321	DB01188
DB00818	DB00214
DB00678	DB00208
DB00338	DB00794
DB00404	DB06700
DB01016	DB00555
DB01165	DB04572
DB00630	DB01117
DB00842	DB00289
DB00993	DB00678
DB01050	DB01132
DB00399	DB00317
DB00191	DB00231
DB00524	DB01224
DB01067	DB01611
DB00999	DB01224
DB01062	DB00282
DB01050	DB00282
DB00379	DB01020
DB01136	DB00489
DB00564	DB00737
DB00264	DB00727
DB01039	DB00472
DB00370	DB00214
DB01039	DB00544
DB01005	DB00433
DB00524	DB00904
DB00338	DB00287
DB00331	DB09389
DB00313	DB01059
DB00829	DB00580
DB01067	DB00524
DB00945	DB00976
DB00945	DB00270
DB00454	DB00246
DB01067	DB00806
DB00537	DB01291
DB01016	DB00557
DB01069	DB00697
DB00335	DB00313
DB01198	DB00398
DB00612	DB00482
DB01217	DB00482
DB00829	DB00317
DB00331	DB01088
DB00338	DB01129
DB00313	DB00710
DB00455	DB01165
DB01173	DB00962
DB01181	DB00285
DB01029	DB01132
DB00335	DB01009
DB00404	DB00524
DB00423	DB00480
DB00829	DB00423
DB00945	DB00564
DB00448	DB00191
DB00282	DB00412
DB00540	DB00213
DB00999	DB00398
DB00475	DB00533
DB00590	DB00530
DB00285	DB00947
DB00829	DB01005
DB00829	DB01611
DB00829	DB00557
DB00482	DB00594
DB00575	DB01267
