DC_ID	DCU_ID
DC000001	DCU00331
DC000002	DCU00330
DC000003	DCU00326
DC000004	DCU00327
DC000005	DCU00222
DC000005	DCU00328
DC000006	DCU00329
DC000006	DCU00511
DC000006	DCU00513
DC000006	DCU00517
DC000006	DCU00525
DC000006	DCU00527
DC000006	DCU10039
DC000006	DCU10045
DC000006	DCU10048
DC000007	DCU00322
DC000008	DCU00323
DC000009	DCU00324
DC000010	DCU00325
DC000010	DCU00534
DC000010	DCU00535
DC000010	DCU00536
DC000010	DCU00538
DC000010	DCU00539
DC000010	DCU00544
DC000010	DCU00545
DC000010	DCU00547
DC000010	DCU00552
DC000010	DCU05756
DC000011	DCU00321
DC000012	DCU00320
DC000013	DCU00319
DC000014	DCU00317
DC000015	DCU00318
DC000016	DCU00315
DC000017	DCU00316
DC000018	DCU00313
DC000019	DCU00314
DC000020	DCU00312
DC000021	DCU00164
DC000022	DCU00165
DC000023	DCU00166
DC000024	DCU00167
DC000025	DCU00162
DC000026	DCU00163
DC000027	DCU00254
DC000028	DCU00168
DC000029	DCU00169
DC000030	DCU00170
DC000031	DCU00171
DC000032	DCU00224
DC000032	DCU00360
DC000033	DCU00260
DC000034	DCU00359
DC000034	DCU00563
DC000034	DCU07553
DC000035	DCU00259
DC000036	DCU00262
DC000037	DCU00261
DC000037	DCU00569
DC000038	DCU00256
DC000039	DCU00255
DC000040	DCU00258
DC000041	DCU00257
DC000042	DCU00352
DC000043	DCU00351
DC000044	DCU00354
DC000044	DCU00574
DC000044	DCU00576
DC000044	DCU00577
DC000044	DCU05908
DC000045	DCU00353
DC000046	DCU00356
DC000047	DCU00355
DC000048	DCU00263
DC000049	DCU00358
DC000050	DCU00357
DC000051	DCU00155
DC000052	DCU00156
DC000053	DCU00153
DC000054	DCU00154
DC000055	DCU00152
DC000056	DCU00361
DC000057	DCU00264
DC000058	DCU00265
DC000059	DCU00161
DC000060	DCU00159
DC000061	DCU00160
DC000062	DCU00157
DC000063	DCU00158
DC000064	DCU00273
DC000065	DCU00272
DC000066	DCU00271
DC000067	DCU00370
DC000068	DCU00270
DC000069	DCU00269
DC000070	DCU00268
DC000071	DCU00267
DC000072	DCU00266
DC000073	DCU00365
DC000073	DCU04975
DC000073	DCU04976
DC000074	DCU00364
DC000075	DCU00363
DC000076	DCU00362
DC000076	DCU00579
DC000077	DCU00369
DC000078	DCU00368
DC000079	DCU00367
DC000080	DCU00366
DC000080	DCU05450
DC000080	DCU05451
DC000080	DCU05453
DC000081	DCU00371
DC000082	DCU00372
DC000083	DCU00142
DC000084	DCU00143
DC000084	DCU01471
DC000085	DCU00144
DC000086	DCU00145
DC000087	DCU00146
DC000088	DCU00007
DC000088	DCU00591
DC000089	DCU00147
DC000090	DCU00008
DC000091	DCU00148
DC000092	DCU00009
DC000093	DCU00149
DC000094	DCU00010
DC000095	DCU00150
DC000096	DCU00011
DC000096	DCU00594
DC000096	DCU00596
DC000097	DCU00151
DC000098	DCU00236
DC000099	DCU00002
DC000099	DCU07401
DC000099	DCU08655
DC000099	DCU08657
DC000100	DCU00235
DC000100	DCU00602
DC000101	DCU00238
DC000102	DCU00004
DC000103	DCU00237
DC000103	DCU03476
DC000103	DCU04552
DC000104	DCU00003
DC000105	DCU00240
DC000105	DCU00607
DC000105	DCU01370
DC000105	DCU01374
DC000105	DCU01378
DC000105	DCU02280
DC000106	DCU00006
DC000107	DCU00239
DC000107	DCU00611
DC000107	DCU00612
DC000107	DCU00616
DC000107	DCU06166
DC000108	DCU00005
DC000108	DCU03842
DC000109	DCU00380
DC000110	DCU00219
DC000110	DCU00220
DC000110	DCU00242
DC000111	DCU00379
DC000111	DCU01343
DC000112	DCU00241
DC000113	DCU00382
DC000114	DCU00381
DC000114	DCU00618
DC000114	DCU06815
DC000115	DCU00243
DC000116	DCU00374
DC000117	DCU00373
DC000117	DCU05775
DC000118	DCU00405
DC000119	DCU00375
DC000260	DCU00189
DC000260	DCU00705
DC000260	DCU00708
DC000261	DCU00474
DC000262	DCU00477
DC000263	DCU00476
DC000264	DCU00274
DC000265	DCU00479
DC000266	DCU00478
DC000267	DCU00276
DC000267	DCU00710
DC000268	DCU00481
DC000269	DCU00275
DC000270	DCU00480
DC000271	DCU00122
DC000272	DCU00416
DC000273	DCU00182
DC000273	DCU00715
DC000274	DCU00121
DC000274	DCU04713
DC000275	DCU00415
DC000276	DCU00482
DC000277	DCU00184
DC000277	DCU00726
DC000277	DCU08462
DC000278	DCU00418
DC000279	DCU00183
DC000280	DCU00417
DC000281	DCU00186
DC000282	DCU00118
DC000282	DCU00737
DC000283	DCU00185
DC000284	DCU00117
DC000285	DCU00188
DC000286	DCU00120
DC000287	DCU00414
DC000288	DCU00187
DC000288	DCU00749
DC000288	DCU00755
DC000288	DCU00756
DC000289	DCU00119
DC000290	DCU00413
DC000291	DCU00102
DC000291	DCU00763
DC000291	DCU07825
DC000291	DCU07826
DC000291	DCU07831
DC000292	DCU00114
DC000293	DCU00115
DC000294	DCU00116
DC000295	DCU00419
DC000295	DCU00781
DC000296	DCU00420
DC000297	DCU00421
DC000298	DCU00422
DC000299	DCU00277
DC000300	DCU00278
DC000301	DCU00279
DC000302	DCU00280
DC000303	DCU00281
DC000304	DCU00282
DC000305	DCU00283
DC000306	DCU00473
DC000306	DCU08699
DC000307	DCU00181
DC000307	DCU00805
DC000307	DCU00808
DC000308	DCU00487
DC000309	DCU00180
DC000309	DCU03852
DC000310	DCU00486
DC000311	DCU00179
DC000312	DCU00485
DC000313	DCU00287
DC000314	DCU00491
DC000315	DCU00286
DC000316	DCU00490
DC000317	DCU00285
DC000318	DCU00489
DC000319	DCU00284
DC000320	DCU00488
DC000321	DCU00174
DC000321	DCU08978
DC000322	DCU00429
DC000323	DCU00173
DC000324	DCU00428
DC000325	DCU00172
DC000326	DCU00427
DC000327	DCU00132
DC000328	DCU00426
DC000329	DCU00178
DC000330	DCU00131
DC000331	DCU00425
DC000332	DCU00177
DC000333	DCU00130
DC000334	DCU00424
DC000335	DCU00176
DC000335	DCU00834
DC000335	DCU00837
DC000335	DCU00841
DC000336	DCU00129
DC000337	DCU00423
DC000338	DCU00175
DC000339	DCU00128
DC000340	DCU00126
DC000341	DCU00127
DC000342	DCU00124
DC000342	DCU07226
DC000343	DCU00125
DC000343	DCU03375
DC000343	DCU03379
DC000343	DCU03382
DC000343	DCU03384
DC000344	DCU00432
DC000345	DCU00123
DC000346	DCU00430
DC000347	DCU00431
DC000348	DCU00290
DC000349	DCU00291
DC000349	DCU05445
DC000349	DCU05446
DC000350	DCU00288
DC000351	DCU00289
DC000352	DCU00483
DC000353	DCU00484
DC000354	DCU00292
DC000355	DCU00293
DC000355	DCU08734
DC000355	DCU08736
DC000355	DCU08738
DC000355	DCU08743
DC000355	DCU08749
DC000355	DCU08750
DC000356	DCU00041
DC000356	DCU00230
DC000356	DCU00231
DC000357	DCU00042
DC000357	DCU00232
DC000357	DCU00233
DC000357	DCU00848
DC000358	DCU00462
DC000359	DCU00045
DC000360	DCU00046
DC000361	DCU00460
DC000362	DCU00043
DC000363	DCU00461
DC000364	DCU00044
DC000365	DCU00458
DC000366	DCU00070
DC000366	DCU09591
DC000367	DCU00459
DC000368	DCU00071
DC000368	DCU08998
DC000369	DCU00456
DC000370	DCU00047
DC000370	DCU00854
DC000370	DCU09533
DC000370	DCU09534
DC000370	DCU09535
DC000370	DCU09540
DC000371	DCU00508
DC000372	DCU00048
DC000373	DCU00454
DC000374	DCU00455
DC000375	DCU00453
DC000376	DCU00072
DC000376	DCU05981
DC000377	DCU00073
DC000378	DCU00074
DC000379	DCU00471
DC000566	DCU01055
DC000573	DCU01063
DC000581	DCU01073
DC000583	DCU01075
DC000594	DCU01088
DC000601	DCU01100
DC000610	DCU01112
DC000611	DCU01113
DC000611	DCU04861
DC000616	DCU01119
DC000623	DCU01128
DC000629	DCU01134
DC000649	DCU01160
DC000649	DCU01162
DC000652	DCU01166
DC000652	DCU03787
DC000654	DCU01168
DC000654	DCU08537
DC000664	DCU01184
DC000690	DCU01217
DC000697	DCU01224
DC000699	DCU07407
DC000703	DCU01232
DC000705	DCU01236
DC000713	DCU01247
DC000713	DCU05974
DC000720	DCU01262
DC000725	DCU01268
DC000730	DCU01274
DC000743	DCU01292
DC000747	DCU01297
DC000750	DCU01300
DC000754	DCU01305
DC000755	DCU01306
DC000756	DCU01307
DC000756	DCU01309
DC000758	DCU01311
DC000761	DCU01315
DC000762	DCU01316
DC000764	DCU01318
DC000766	DCU01320
DC000770	DCU01326
DC000770	DCU09066
DC000772	DCU09821
DC000773	DCU01333
DC000775	DCU01335
DC000778	DCU01339
DC000779	DCU01340
DC000781	DCU01344
DC000782	DCU01345
DC000794	DCU01362
DC000807	DCU09412
DC000813	DCU01398
DC000834	DCU01421
DC000854	DCU01453
DC000859	DCU01458
DC000863	DCU01462
DC000867	DCU01473
DC000875	DCU01482
DC000875	DCU02055
DC000890	DCU01498
DC000891	DCU01500
DC000898	DCU01508
DC000901	DCU10310
DC000912	DCU01533
DC000919	DCU01546
DC000922	DCU01549
DC000926	DCU01554
DC000931	DCU01563
DC000947	DCU01582
DC000951	DCU01586
DC000951	DCU06071
DC000951	DCU08291
DC000951	DCU08292
DC000956	DCU01592
DC000966	DCU01605
DC000967	DCU01606
DC000969	DCU01610
DC000971	DCU01614
DC000980	DCU01624
DC000988	DCU01635
DC000995	DCU01642
DC000998	DCU01645
DC001002	DCU01650
DC001016	DCU01676
DC001017	DCU01680
DC001019	DCU06795
DC001030	DCU01695
DC001041	DCU01717
DC001044	DCU01721
DC001046	DCU01723
DC001054	DCU01735
DC001054	DCU01736
DC001057	DCU07013
DC001058	DCU01744
DC001058	DCU04119
DC001058	DCU04690
DC001058	DCU08009
DC001070	DCU01757
DC001072	DCU01762
DC001074	DCU01766
DC001074	DCU08950
DC001077	DCU01769
DC001077	DCU01770
DC001077	DCU04041
DC001077	DCU04404
DC001080	DCU01773
DC001080	DCU01774
DC001086	DCU01781
DC001087	DCU01782
DC001087	DCU07467
DC001090	DCU01786
DC001093	DCU01796
DC001095	DCU01798
DC001097	DCU01800
DC001097	DCU09218
DC001100	DCU10032
DC001130	DCU01843
DC001130	DCU02858
DC001156	DCU01882
DC001170	DCU01897
DC001172	DCU02959
DC001172	DCU02967
DC001178	DCU01909
DC001180	DCU01911
DC001187	DCU01919
DC001201	DCU01944
DC001222	DCU01972
DC001228	DCU01988
DC001228	DCU09669
DC001236	DCU02000
DC001236	DCU04413
DC001240	DCU02006
DC001240	DCU02008
DC001246	DCU02016
DC001261	DCU02034
DC001264	DCU02043
DC001268	DCU02048
DC001275	DCU02057
DC001275	DCU08958
DC001296	DCU02088
DC001309	DCU02105
DC001309	DCU05564
DC001326	DCU02123
DC001328	DCU02132
DC001330	DCU02136
DC001340	DCU02157
DC001340	DCU02158
DC001351	DCU02172
DC001357	DCU02181
DC001365	DCU02193
DC001367	DCU08084
DC001372	DCU02204
DC001396	DCU02233
DC001396	DCU07878
DC001403	DCU02240
DC001403	DCU07024
DC001408	DCU02246
DC001413	DCU02251
DC001414	DCU10011
DC001440	DCU02285
DC001443	DCU02288
DC001443	DCU04568
DC001444	DCU02289
DC001444	DCU07625
DC001461	DCU02316
DC001461	DCU02317
DC001461	DCU02320
DC001461	DCU08899
DC001463	DCU02327
DC001473	DCU02345
DC001481	DCU02358
DC001481	DCU06910
DC000120	DCU00384
DC000120	DCU04037
DC000121	DCU00385
DC000122	DCU00383
DC000123	DCU00134
DC000124	DCU00133
DC000125	DCU00137
DC000126	DCU00020
DC000127	DCU00138
DC000128	DCU00021
DC000129	DCU00135
DC000130	DCU00018
DC000131	DCU00136
DC000132	DCU00019
DC000133	DCU00141
DC000133	DCU01013
DC000134	DCU00139
DC000135	DCU00140
DC000136	DCU00247
DC000137	DCU00013
DC000138	DCU00246
DC000139	DCU00012
DC000140	DCU00245
DC000141	DCU00244
DC000142	DCU00251
DC000143	DCU00017
DC000144	DCU00250
DC000145	DCU00016
DC000146	DCU00249
DC000147	DCU00015
DC000148	DCU00248
DC000149	DCU00014
DC000150	DCU00392
DC000151	DCU00391
DC000152	DCU00253
DC000153	DCU00390
DC000153	DCU03388
DC000154	DCU00252
DC000155	DCU00389
DC000156	DCU00388
DC000157	DCU00387
DC000157	DCU00650
DC000158	DCU00386
DC000158	DCU00659
DC000158	DCU00660
DC000158	DCU00663
DC000159	DCU00221
DC000159	DCU00296
DC000159	DCU10212
DC000160	DCU00500
DC000161	DCU00295
DC000161	DCU06574
DC000162	DCU00499
DC000163	DCU00298
DC000164	DCU00297
DC000165	DCU00501
DC000166	DCU00496
DC000167	DCU00495
DC000168	DCU00294
DC000168	DCU00673
DC000169	DCU00498
DC000170	DCU00497
DC000171	DCU00207
DC000172	DCU00085
DC000173	DCU00206
DC000174	DCU00084
DC000175	DCU00209
DC000176	DCU00087
DC000177	DCU00208
DC000178	DCU00086
DC000179	DCU00203
DC000180	DCU00394
DC000181	DCU00089
DC000182	DCU00202
DC000183	DCU00393
DC000184	DCU00088
DC000185	DCU00205
DC000186	DCU00396
DC000187	DCU00091
DC000188	DCU00204
DC000189	DCU00395
DC000190	DCU00090
DC000191	DCU00397
DC000192	DCU00398
DC000193	DCU00200
DC000193	DCU00677
DC000194	DCU00399
DC000195	DCU00201
DC000196	DCU00400
DC000197	DCU00401
DC000198	DCU00402
DC000199	DCU00081
DC000200	DCU00083
DC000201	DCU00303
DC000201	DCU00680
DC000201	DCU01526
DC000202	DCU00492
DC000203	DCU00493
DC000204	DCU00494
DC000205	DCU00299
DC000206	DCU00300
DC000207	DCU00301
DC000208	DCU00302
DC000209	DCU00307
DC000210	DCU00306
DC000211	DCU00338
DC000212	DCU00001
DC000213	DCU00337
DC000214	DCU00049
DC000215	DCU00305
DC000216	DCU00510
DC000217	DCU00304
DC000218	DCU00509
DC000219	DCU00507
DC000220	DCU00199
DC000220	DCU02134
DC000221	DCU00506
DC000221	DCU03233
DC000222	DCU00198
DC000223	DCU00403
DC000224	DCU00098
DC000225	DCU00197
DC000226	DCU00097
DC000227	DCU00196
DC000228	DCU00096
DC000229	DCU00195
DC000230	DCU00095
DC000231	DCU00194
DC000232	DCU00407
DC000233	DCU00193
DC000234	DCU00406
DC000235	DCU00101
DC000236	DCU00192
DC000237	DCU00457
DC000237	DCU00692
DC000237	DCU00693
DC000238	DCU00100
DC000239	DCU00191
DC000240	DCU00404
DC000241	DCU00099
DC000242	DCU00410
DC000243	DCU00190
DC000244	DCU00411
DC000245	DCU00408
DC000246	DCU00409
DC000247	DCU00093
DC000248	DCU00094
DC000249	DCU00412
DC000250	DCU00092
DC000250	DCU07514
DC000250	DCU07520
DC000251	DCU00504
DC000252	DCU00225
DC000252	DCU00505
DC000253	DCU00502
DC000254	DCU00503
DC000255	DCU00310
DC000256	DCU00311
DC000257	DCU00308
DC000258	DCU00309
DC000259	DCU00475
DC000259	DCU00699
DC006113	DCU08848
DC006115	DCU08851
DC006118	DCU08855
DC006122	DCU08860
DC006126	DCU08864
DC006130	DCU08869
DC006131	DCU08870
DC006144	DCU08889
DC006145	DCU09984
DC006145	DCU09986
DC006145	DCU09991
DC006156	DCU08904
DC006178	DCU08929
DC006181	DCU08932
DC006192	DCU08946
DC006200	DCU08956
DC006217	DCU08976
DC006255	DCU09032
DC006260	DCU09037
DC006269	DCU09047
DC006275	DCU09054
DC006275	DCU09056
DC006275	DCU09060
DC006321	DCU09118
DC006327	DCU09125
DC006337	DCU09136
DC006382	DCU09220
DC006391	DCU09232
DC006406	DCU09250
DC006430	DCU09282
DC006457	DCU09317
DC006475	DCU09338
DC006476	DCU09340
DC006480	DCU09346
DC006480	DCU09882
DC006495	DCU09368
DC006509	DCU09394
DC006524	DCU09420
DC006553	DCU09454
DC006554	DCU09455
DC006569	DCU09477
DC006572	DCU09483
DC006577	DCU09488
DC006623	DCU09558
DC006625	DCU09560
DC006697	DCU09670
DC006701	DCU09679
DC006725	DCU09703
DC006726	DCU09704
DC006727	DCU09705
DC006742	DCU09723
DC006745	DCU09726
DC006753	DCU09734
DC006759	DCU09740
DC006767	DCU09750
DC006803	DCU09794
DC006815	DCU09807
DC006823	DCU09817
DC006837	DCU09835
DC006842	DCU09843
DC006847	DCU09850
DC006853	DCU09857
DC006857	DCU09863
DC006861	DCU09868
DC006864	DCU09872
DC006865	DCU09876
DC006882	DCU09897
DC006888	DCU09943
DC006888	DCU09947
DC006898	DCU09957
DC006904	DCU09965
DC006920	DCU10000
DC006957	DCU10059
DC006970	DCU10073
DC007000	DCU10113
DC007005	DCU10118
DC007006	DCU10119
DC007011	DCU10124
DC007013	DCU10129
DC007018	DCU10139
DC007020	DCU10141
DC007020	DCU10142
DC007023	DCU10149
DC007029	DCU10156
DC007031	DCU10158
DC007044	DCU10173
DC007046	DCU10175
DC007050	DCU10179
DC007060	DCU05531
DC007060	DCU10193
DC007061	DCU10206
DC007062	DCU10207
DC007089	DCU10240
DC007146	DCU10312
DC007150	DCU10319
DC007151	DCU10320
DC007152	DCU10321
DC007152	DCU10322
DC007153	DCU10323
DC007154	DCU10324
DC007154	DCU10325
DC007154	DCU10326
DC007155	DCU10327
DC007155	DCU10328
DC007155	DCU10329
DC007156	DCU10330
DC007156	DCU10331
DC007156	DCU10332
DC007157	DCU10333
DC007158	DCU10334
DC007158	DCU10335
DC007159	DCU10336
DC007160	DCU10337
DC007161	DCU10338
DC007161	DCU10339
DC007162	DCU10340
DC007163	DCU10341
DC007163	DCU10342
DC007164	DCU10343
DC007164	DCU10344
DC007165	DCU10345
DC007165	DCU10346
DC007166	DCU10347
DC007166	DCU10348
DC007167	DCU10349
DC007167	DCU10350
DC007167	DCU10351
DC007167	DCU10352
DC007168	DCU10353
DC007168	DCU10354
DC007169	DCU10355
DC007170	DCU10356
DC007171	DCU10357
DC007171	DCU10358
DC007172	DCU10359
DC007172	DCU10360
DC007173	DCU10361
DC007173	DCU10362
DC007173	DCU10363
DC007174	DCU10364
DC007174	DCU10365
DC007175	DCU10366
DC004926	DCU07138
DC004931	DCU04523
DC004931	DCU07148
DC004931	DCU07149
DC004934	DCU07153
DC004956	DCU09772
DC004957	DCU07184
DC004957	DCU09519
DC004962	DCU07195
DC004962	DCU07203
DC004965	DCU07207
DC004966	DCU07209
DC004971	DCU07214
DC004972	DCU07215
DC004974	DCU07218
DC004974	DCU07685
DC004980	DCU07224
DC004989	DCU07236
DC004991	DCU07241
DC004991	DCU07243
DC004999	DCU07257
DC005005	DCU07269
DC005005	DCU07363
DC005012	DCU07277
DC005042	DCU07317
DC005043	DCU07318
DC005046	DCU07321
DC005062	DCU07356
DC005093	DCU07396
DC005096	DCU07400
DC005116	DCU07427
DC005116	DCU07431
DC005134	DCU07454
DC005141	DCU07466
DC005159	DCU07490
DC005160	DCU07491
DC005160	DCU07493
DC005160	DCU07494
DC005184	DCU07530
DC005208	DCU07555
DC005208	DCU08826
DC005210	DCU07557
DC005220	DCU07569
DC005246	DCU07600
DC005250	DCU07604
DC005258	DCU07615
DC005258	DCU07616
DC005259	DCU07617
DC005259	DCU07618
DC005263	DCU07623
DC005268	DCU07628
DC005284	DCU07651
DC005288	DCU07655
DC005294	DCU07662
DC005314	DCU07687
DC005319	DCU07694
DC005322	DCU07697
DC005323	DCU07698
DC005333	DCU07711
DC005336	DCU09566
DC005339	DCU07718
DC005350	DCU07729
DC005353	DCU07732
DC005362	DCU01887
DC005362	DCU07750
DC005385	DCU07783
DC005389	DCU07788
DC005396	DCU07800
DC005400	DCU07805
DC005404	DCU07809
DC005412	DCU07819
DC005421	DCU07844
DC005449	DCU07875
DC005450	DCU07876
DC005463	DCU07890
DC005467	DCU07898
DC005472	DCU07903
DC005472	DCU10290
DC005488	DCU07923
DC005501	DCU07939
DC005521	DCU07963
DC005523	DCU07965
DC005540	DCU07998
DC005542	DCU08004
DC005557	DCU08026
DC005559	DCU08028
DC005570	DCU08041
DC005582	DCU08059
DC005603	DCU08089
DC005610	DCU08096
DC005613	DCU08100
DC005627	DCU08117
DC005636	DCU08128
DC005651	DCU08162
DC005658	DCU08175
DC005665	DCU08185
DC005665	DCU08187
DC005665	DCU08189
DC005702	DCU08244
DC005712	DCU06351
DC005712	DCU08261
DC005715	DCU08265
DC005732	DCU08286
DC005733	DCU08287
DC005743	DCU08302
DC005750	DCU08319
DC005752	DCU08323
DC005757	DCU08335
DC005773	DCU08355
DC005774	DCU08356
DC005783	DCU08368
DC005783	DCU08369
DC005784	DCU08370
DC005791	DCU08379
DC005791	DCU08381
DC005802	DCU08393
DC005804	DCU08395
DC005818	DCU08413
DC005839	DCU08439
DC005839	DCU08440
DC005840	DCU08441
DC005843	DCU08444
DC005861	DCU08470
DC005861	DCU08471
DC005864	DCU08482
DC005871	DCU08491
DC005878	DCU08506
DC005894	DCU08529
DC005921	DCU08563
DC005921	DCU09100
DC005938	DCU08583
DC005946	DCU08593
DC005954	DCU08603
DC005981	DCU08644
DC005998	DCU08667
DC006001	DCU08671
DC006002	DCU08672
DC006019	DCU08706
DC006019	DCU08953
DC006066	DCU08789
DC006074	DCU08801
DC006079	DCU08807
DC006083	DCU08812
DC006098	DCU08828
DC006104	DCU08838
DC007176	DCU10367
DC007177	DCU10368
DC007178	DCU10369
DC007178	DCU10370
DC007179	DCU10371
DC007179	DCU10372
DC007180	DCU10373
DC007181	DCU10374
DC007182	DCU10375
DC007183	DCU10376
DC007185	DCU10377
DC007186	DCU10378
DC007187	DCU10379
DC007188	DCU10380
DC007189	DCU10381
DC007191	DCU10383
DC007193	DCU10386
DC007195	DCU10388
DC007196	DCU10389
DC007196	DCU10390
DC007197	DCU10391
DC007197	DCU10392
DC007198	DCU10393
DC007199	DCU10394
DC007200	DCU10395
DC007201	DCU10396
DC007201	DCU10397
DC007202	DCU10398
DC007203	DCU10399
DC007203	DCU10400
DC007203	DCU10401
DC007204	DCU10402
DC007205	DCU10403
DC007206	DCU10404
DC007208	DCU10407
DC007212	DCU10413
DC007212	DCU10414
DC007213	DCU10415
DC007214	DCU10416
DC007215	DCU10417
