DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU01786	Didanosine: 250 mg; Lopinavir: 400 mg; Nevirapine: 200 mg; Ritonavi: 100 mr; Zidovudine: 300 mg	null	HIV Infections	Efficacious	Unclear	Phase 2	NCT00109590	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	At entry, the 169 participants had a median CD4 cell count of 456 cells/mcL and an HIV load of 3.49 log(10) copies/mL. The incidence of mutations in each of the 3 P1032 arms was 0% by sequencing and 1.8%, 7.1%, and 5.3% by OLA in arms A, B, and C, respectively, compared with 13.4% by sequencing and 29.4% by OLA in the comparison group (P < .001 for each study arm vs comparison group).	null	1 month of dual therapy after SD-NVP prevents most NVP resistance to minimal toxicity.
DCU01796	Dasatinib: 100 mg; Docetaxel: 75 mg/m2; Prednisone: 5 mg	null	Prostatic Neoplasms	Non-efficacious	Unclear	Phase 3	NCT00744497	C61 Malignant neoplasm of prostate	C00-D48  Neoplasms; C60-C63  Malignant neoplasms of male genital organs; C61  Malignant neoplasm of prostate	At final analysis, median follow-up was 19.0 months (IQR 11.2-25.1) and 914 patients had died. Median overall survival was 21.5 months (95% CI 20.3-22.8) in the dasatinib group and 2.2 months (20.0-23.4) in the placebo group (stratified hazard ratio [HR] 0.99, 95.5% CI 0.87-1.13; p=0.90).	The most common grade 3-4 adverse events included diarrhoea (58 [8%] patients in the dasatinib group vs 27 [4%] patients in the placebo group), fatigue (62 [8%] vs 42 [6%]), and asthenia (40 [5%] vs 23 [3%]); grade 3-4 pleural effusions were uncommon (ten [1%] vs three [<1%]).	no improvement on overall survival
DCU01798	Bevacizumab: 15 mg/kg; Capecitabine: 825 mg/m2; Cyclophosphamide: 600 mg/m2; Docetaxel: 100 mg/m2; Doxorubicin: 60 mg/m2	null	Breast Cancer	Efficacious	Unclear	Phase 3	NCT00408408	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	The addition of bevacizumab significantly increased the rate of pathological complete response (28.2% without bevacizumab vs. 34.5% with bevacizumab, P=0.02).	Both capecitabine and gemcitabine were associated with increased toxic effects specifically, the hand-foot syndrome, mucositis, and neutropenia.	significantly increased the rate of pathological complete response
DCU01800	Fluticasone Propionate: 100 mcg; Montelukast: 5-10 mg; Salmeterol: 50 mcg	null	Asthma	Need further study	Unclear	Phase 3	NCT00395304	J45 Asthma	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma	The response to long-acting beta-agonist twice daily step-up therapy was most likely to be the best response, as compared with responses to leukotriene-receptor antagonist daily step-up (relative probability, 1.6; 95% confidence interval [CI], 1.1 to 2.3; P=0.004) and ICS step-up (relative probability, 1.7; 95% CI, 1.2 to 2.4; P=0.002).	null	significantly more likely to provide the best response than either ICS or LTRA step-up.
DCU01843	Cyclosporine: 300 mg; Mycophenolate mofeti: 2 mcg/ml; Prednisone: 0.5 mg/kg	null	Kidney Transplantation	Need further study	Unclear	Phase 4	NCT00812123	N18.6 End stage renal disease	N00-N99   Diseases of the genitourinary system; N17-N19  Renal failure; N18  Chronic kidney disease (CKD); N18.6 End stage renal disease	null	Kidney function was similar in both groups, whereas levels of markers associated with glomerular damage (albumin, 19.5 vs 8.96 mg/mmol creatinine; P < 0.001; transferrin, 13.1 vs 5.7 mg/mmol creatinine; P < 0.001) and those associated with tubular damage (alpha(1)-microglobulin, 11 vs 7.6 mg/mmol creatinine; P = 0.004; retinol-binding protein, 19.6 vs 9.6 mg/mmol creatinine; P = 0.002) were higher beginning at day 7 in patients randomly assigned to sirolimus therapy, with similar findings through day 90.	compared with sirolimus regimen, with lower tubular toxicity
DCU01882	Carboplatin: 100 mg/m2; Cetuximab: 400 mg/m2; Cisplatin: 100 mg/m2; Fluorouracil: 1 g/m2	null	Squamous Cell Carcinoma of the Head and Neck	Efficacious	Unclear	Phase 2	NCT00971932	C76.0 Malignant neoplasm of head, face and neck	C00-D48  Neoplasms; C76-C80  Malignant neoplasms of ill-defined, secondary and unspecified sites; C76  Malignant neoplasm of other and ill-defined sites; C76.0 Malignant neoplasm of head, face and neck	The best overall response rate as assessed by the independent review committee was 36% (95% confidence interval: 20, 55) and was significantly greater (P = 0.002) than the protocol-specified threshold of 15% at the one-sided 5% level. The disease control rate was 88%.	There were no unexpected safety concerns. Grade 3 or 4 adverse events were experienced by nearly all patients (32, 97%). No adverse events were fatal.	significantly improved overall response rate and median progression free survival
DCU01887	Bupropion: 10-20 mg/d; Escitalopram: 150-450 mg/d	null	Major Depressive Disorder	Non-efficacious	Unclear	Phase 4	NCT00590863	F32.3 Major depressive disorder, single episode, severe with psychotic features	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.3 Major depressive disorder, single episode, severe with psychotic features	Antidepressant combinations were associated with a higher non-adherence rate than monotherapy during weeks 1-4 and 1-12. During weeks 1-4, 24.1% stopped/skipped doses and 6.1% reduced the dose.	null	higher nonadherence with combination
DCU01897	null	null	Diabetes Mellitus	Efficacious	Unclear	Phase 2/3	NCT00562952	E11.5 Type 2 diabetes mellitus with circulatory complications;	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus; E11.5 Type 2 diabetes mellitus with circulatory complications	Blood pressure was significantly reduced in both (p < 0.05); heart rate was only reduced in the intensified group (p = 0.004). A significant reduction of the primary endpoint (hazard ratio: 0.351; 95% confidence interval: 0.127 to 0.975, p = 0.044) was visible in the intensified group.	null	significantly reduction of hospitalization/death due to cardiac disease
DCU06087	Carboplatin: MTD; Trientine: 750 mg	null	Advanced Cancers	Need further study	Unclear	Phase 1	NCT01178112	C Malignant neoplasm	C Malignant neoplasm	null	null	null
DCU06094	Losartan: 100 mg; Propranolol: 20 mg	null	Marfan Syndrome	Efficacious	Unclear	Phase 2	NCT00651235	"Q87.4 Marfan's syndrome"	"Q00-Q99   Congenital malformations, deformations and chromosomal abnormalities; Q80-Q89  Other congenital malformations; Q87  Other specified congenital malformation syndromes affecting multiple systems; Q87.4 Marfan's syndrome"	In the BB-L group, aortic root dilation was reduced with treatment, and the annual dilation rate of the aortic root was significantly lower than that of the BB group (0.10 mm/yr vs 0.89 mm/yr; P=.02).	null	effective compared with other therapy
