drug_1	drug_2
DB01004	DB00529
DB00260	DB00363
DB06285	DB00630
DB01104	DB00704
DB00375	DB00227
DB09274	DB00041
DB00396	DB00783
DB09312	DB00091
DB00531	DB00091
DB00531	DB01073
DB00091	DB00563
DB00515	DB00773
DB00515	DB00361
DB01030	DB01229
DB00848	DB00544
DB01042	DB00531
DB00958	DB00773
DB00531	DB00773
DB01128	DB00014
DB00635	DB01042
DB00515	DB00544
DB01073	DB00104
DB00091	DB01262
DB01165	DB00537
DB00958	DB01229
DB00762	DB01229
DB00958	DB00541
DB00361	DB01229
DB01005	DB00544
DB00570	DB00563
DB04326	DB01143
DB01177	DB00242
DB01234	DB01233
DB01234	DB00889
DB03516	DB00544
DB00958	DB01030
DB00531	DB04858
DB00563	DB00987
DB01216	DB00499
DB00515	DB04858
DB00515	DB01229
DB01234	DB01042
DB00982	DB01168
DB01181	DB00773
DB00526	DB00762
DB11919	DB00262
DB00499	DB00007
DB04865	DB00987
DB00997	DB01248
DB01042	DB01073
DB00531	DB01008
DB01008	DB00773
DB00762	DB01248
DB00773	DB00541
DB00515	DB00958
DB01248	DB01196
DB00635	DB01204
DB00526	DB01229
DB00322	DB00544
DB00515	DB06362
DB01206	DB00262
DB00853	DB00262
DB00641	DB01115
DB00722	DB00641
DB09312	DB00531
DB00014	DB00007
DB01073	DB00987
DB05829	DB00630
DB11752	DB01229
DB00864	DB00091
DB00958	DB06549
DB01042	DB01030
DB00762	DB05332
DB00958	DB01248
DB12549	DB00958
DB01234	DB05332
DB00853	DB01206
DB06159	DB00773
DB00526	DB00544
DB00762	DB00541
DB00877	DB00098
DB00773	DB00987
DB00515	DB11752
DB00503	DB12264
DB01181	DB00361
DB00635	DB01041
DB00091	DB00688
DB00650	DB00544
DB01073	DB01041
DB00515	DB01933
DB00515	DB01248
DB00361	DB01248
DB01041	DB05332
DB01204	DB01248
DB00022	DB00811
DB00472	DB00215
DB00531	DB00563
DB01217	DB00072
DB00762	DB01101
DB01177	DB00987
DB00853	DB00361
DB00762	DB00262
DB00958	DB04845
DB00112	DB01229
DB01229	DB00188
DB01248	DB00482
DB00515	DB00530
