node_1	node_1_id	node_1_type	node_2	node_2_id	node_2_type
milrinone	DB00235	drug	PDE3B	5140	protein
milrinone	DB00235	drug	PDE3A	5139	protein
milrinone	DB00235	drug	PDE2A	5138	protein
milrinone	DB00235	drug	PDE5A	8654	protein
esmolol	DB00187	drug	ADRB1	153	protein
Myocardial Infarction	C0027051	indication	APOB	338	protein
Myocardial Infarction	C0027051	indication	ESR1	2099	protein
Myocardial Infarction	C0027051	indication	TGFB1	7040	protein
Myocardial Infarction	C0027051	indication	HSPA5	3309	protein
Myocardial Infarction	C0027051	indication	JAK2	3717	protein
Myocardial Infarction	C0027051	indication	LMNA	4000	protein
Myocardial Infarction	C0027051	indication	BCL2	596	protein
Myocardial Infarction	C0027051	indication	NRIP1	8204	protein
Myocardial Infarction	C0027051	indication	ATM	472	protein
Myocardial Infarction	C0027051	indication	TNNI3	7137	protein
Myocardial Infarction	C0027051	indication	TP53	7157	protein
Myocardial Infarction	C0027051	indication	BCL2L1	598	protein
Myocardial Infarction	C0027051	indication	BAX	581	protein
Myocardial Infarction	C0027051	indication	ABCA1	19	protein
Myocardial Infarction	C0027051	indication	CBS	875	protein
Myocardial Infarction	C0027051	indication	MLX	6945	protein
Myocardial Infarction	C0027051	indication	DDIT3	1649	protein
Myocardial Infarction	C0027051	indication	CKB	1152	protein
Myocardial Infarction	C0027051	indication	LDLRAP1	26119	protein
Myocardial Infarction	C0027051	indication	KIF6	221458	protein
Myocardial Infarction	C0027051	indication	S100B	6285	protein
Myocardial Infarction	C0027051	indication	HLA-B	3106	protein
Myocardial Infarction	C0027051	indication	MYH9	4627	protein
Myocardial Infarction	C0027051	indication	MYH7	4625	protein
Myocardial Infarction	C0027051	indication	CALR	811	protein
Myocardial Infarction	C0027051	indication	TIMP2	7077	protein
Myocardial Infarction	C0027051	indication	VDAC1	7416	protein
Myocardial Infarction	C0027051	indication	PSMA6	5687	protein
Myocardial Infarction	C0027051	indication	TNF	7124	protein
Myocardial Infarction	C0027051	indication	CASP3	836	protein
Myocardial Infarction	C0027051	indication	CREB1	1385	protein
Myocardial Infarction	C0027051	indication	WRN	7486	protein
Myocardial Infarction	C0027051	indication	SELL	6402	protein
Myocardial Infarction	C0027051	indication	PHACTR1	221692	protein
Myocardial Infarction	C0027051	indication	PPARGC1A	10891	protein
Myocardial Infarction	C0027051	indication	IL6	3569	protein
Myocardial Infarction	C0027051	indication	MMP9	4318	protein
Myocardial Infarction	C0027051	indication	APOE	348	protein
Myocardial Infarction	C0027051	indication	LRP8	7804	protein
Myocardial Infarction	C0027051	indication	LPL	4023	protein
Myocardial Infarction	C0027051	indication	F2	2147	protein
Myocardial Infarction	C0027051	indication	NOS3	4846	protein
Myocardial Infarction	C0027051	indication	REN	5972	protein
Myocardial Infarction	C0027051	indication	CREM	1390	protein
Myocardial Infarction	C0027051	indication	THBD	7056	protein
Myocardial Infarction	C0027051	indication	LDLR	3949	protein
Myocardial Infarction	C0027051	indication	ITGB3	3690	protein
Myocardial Infarction	C0027051	indication	MMP2	4313	protein
Myocardial Infarction	C0027051	indication	IFNA2	3440	protein
Myocardial Infarction	C0027051	indication	NOS2	4843	protein
Myocardial Infarction	C0027051	indication	IL10	3586	protein
Myocardial Infarction	C0027051	indication	LTA	4049	protein
Myocardial Infarction	C0027051	indication	F13A1	2162	protein
Myocardial Infarction	C0027051	indication	ENPP1	5167	protein
Myocardial Infarction	C0027051	indication	MPL	4352	protein
Myocardial Infarction	C0027051	indication	SH2B3	10019	protein
Myocardial Infarction	C0027051	indication	DAB2IP	153090	protein
Myocardial Infarction	C0027051	indication	F5	2153	protein
Myocardial Infarction	C0027051	indication	PAPPA	5069	protein
Myocardial Infarction	C0027051	indication	LDHA	3939	protein
Myocardial Infarction	C0027051	indication	HP	3240	protein
Myocardial Infarction	C0027051	indication	IL12B	3593	protein
Myocardial Infarction	C0027051	indication	CKM	1158	protein
Myocardial Infarction	C0027051	indication	ACTA2	59	protein
Myocardial Infarction	C0027051	indication	IL1B	3553	protein
Myocardial Infarction	C0027051	indication	LGALS2	3957	protein
Myocardial Infarction	C0027051	indication	WDR12	55759	protein
Myocardial Infarction	C0027051	indication	HSD11B2	3291	protein
Myocardial Infarction	C0027051	indication	MIA3	375056	protein
Myocardial Infarction	C0027051	indication	TET2	54790	protein
